DateTime,Entries,UniqueIPs
1583790492,5942,5942
1583792412,5915,5915
1583794351,5908,5908
1583796250,5908,5908
1583798169,5894,5894
1583800092,5625,5625
1583802970,5272,5272
1583804889,4908,4908
1583806814,4596,4596
1583808730,4474,4474
1583810649,4343,4343
1583812592,4232,4232
1583814487,4085,4085
1583816449,3907,3907
1583818333,3752,3752
1583820526,3461,3461
1583822420,3296,3296
1583824338,3186,3186
1583826289,3026,3026
1583828200,2925,2925
1583830103,2631,2631
1583832010,2392,2392
1583833959,2213,2213
1583835857,2027,2027
1583837775,1983,1983
1583839717,1936,1936
1583842581,1762,1762
1583844494,1575,1575
1583846407,1467,1467
1583848326,1426,1426
1583850299,1489,1489
1583852172,1673,1673
1583854117,1789,1789
1583856976,1920,1920
1583858901,2024,2024
1583860824,2146,2146
1583862733,2323,2323
1583864656,2480,2480
1583866573,2592,2592
1583868505,2687,2687
1583871398,2818,2818
1583873290,2935,2935
1583875214,2989,2989
1583877127,3031,3031
1583879051,3080,3080
1583880970,3116,3116
1583882888,3161,3161
1583884846,3224,3224
1583886736,3312,3312
1583888704,3353,3353
1583890570,3437,3437
1583892500,3565,3565
1583894431,3677,3677
1583896331,3726,3726
1583898259,3825,3825
1583900198,3893,3893
1583902089,4003,4003
1583904011,4073,4073
1583905935,4127,4127
1583907853,4205,4205
1583909771,4325,4325
1583911690,4402,4402
1583914576,4469,4469
1583916524,4568,4568
1583918416,4625,4625
1583920328,4763,4763
1583922254,4873,4873
1583924170,4820,4820
1583926098,4822,4822
1583928982,4758,4758
1583930896,4757,4757
1583932811,4724,4724
1583934784,4624,4624
1583936654,4531,4531
1583938575,4407,4407
1583940523,4317,4317
1583942450,4242,4242
1583944355,4201,4201
1583946281,4163,4163
1583948185,4166,4166
1583950095,4069,4069
1583952024,3980,3980
1583953947,3994,3994
1583955854,4028,4028
1583957803,4075,4075
1583959717,4030,4030
1583961624,4051,4051
1583963539,4126,4126
1583965451,4168,4168
1583967388,4224,4224
1583969287,4257,4257
1583971269,4211,4211
1583973131,4106,4106
1583975298,4065,4065
1583977212,3960,3960
1583979134,3808,3808
1583981057,3695,3695
1583982972,3620,3620
1583984901,3506,3506
1583986822,3452,3452
1583988726,3325,3325
1583990660,3266,3266
1583992569,3203,3203
1583994502,3115,3115
1583997372,2950,2950
1583999301,2866,2866
1584001211,2807,2807
1584003129,2691,2691
1584005074,2611,2611
1584006993,2484,2484
1584009170,2363,2363
1584011298,2273,2273
1584013212,2195,2195
1584015162,2149,2149
1584017057,2098,2098
1584018970,2016,2016
1584020917,1960,1960
1584022816,1921,1921
1584024728,1852,1852
1584026533,1827,1827
1584028346,1826,1826
1584030252,1788,1788
1584032167,1700,1700
1584034111,1560,1560
1584037001,1423,1423
1584038891,1391,1391
1584040816,1323,1323
1584042728,1170,1170
1584044697,1076,1076
1584046570,979,979
1584048488,971,971
1584051403,934,934
1584053293,835,835
1584055210,750,750
1584057162,698,698
1584059051,690,690
1584060971,695,695
1584062887,693,693
1584065772,708,708
1584067694,714,714
1584069609,720,720
1584071551,748,748
1584073455,750,750
1584075367,754,754
1584077287,755,755
1584080185,748,748
1584082093,745,745
1584084008,748,748
1584085929,749,749
1584087850,746,746
1584089766,733,733
1584091715,732,732
1584094575,737,737
1584096493,738,738
1584098407,731,731
1584100328,735,735
1584102250,733,733
1584104167,735,735
1584106088,735,735
1584108974,738,738
1584110898,737,737
1584112813,739,739
1584114732,737,737
1584116679,742,742
1584118568,743,743
1584120487,742,742
1584123385,746,746
1584125311,749,749
