DateTime,AddedIPs,RemovedIPs
1583802057,254,17
1583803932,209,13
1583805909,226,10
1583807772,110,10
1583809718,14,10
1583811609,430,13
1583813548,330,7
1583815458,17,7
1583817397,62,53
1583819290,705,98
1583821233,922,21
1583823128,1896,138
1583825052,2134,157
1583826968,2117,164
1583828919,1813,127
1583830853,2254,179
1583832736,340,160
1583834667,245,173
1583836575,339,167
1583838491,183,155
1583840435,215,155
1583842336,64,160
1583844251,72,159
1583846170,36,256
1583848116,89,424
1583850023,43,147
1583851891,24,174
1583853854,16,170
1583855771,796,185
1583857718,1118,138
1583859693,663,156
1583861544,190,121
1583863472,8,126
1583865373,22,147
1583867334,16,133
1583869228,18,152
1583871151,14,75
1583873055,19,138
1583874978,22,122
1583876889,14,142
1583878811,14,102
1583880738,10,109
1583883612,166,166
1583885783,450,193
1583887698,394,160
1583889621,274,112
1583891555,340,139
1583893453,249,93
1583895375,243,16
1583897290,1,8
1583900200,7,454
1583902092,5,13
1583904013,326,77
1583905937,10,96
1583907860,19,315
1583909773,11,1745
1583911693,42,1604
1583914579,27,2138
1583916527,6,1981
1583918419,4,908
1583920332,4,203
1583922257,8,458
1583924173,8,271
1583926100,7,692
1583928985,7,1003
1583930899,9,186
1583932814,3,255
1583934789,8,1452
1583936657,7,90
1583938601,8,21
1583940527,6,19
1583942544,13,1071
1583944358,7,1312
1583946323,7,928
1583948189,12,228
1583950097,8,13
1583952030,4,24
1583953950,6,15
1583955856,8,20
1583957805,12,23
1583959763,6,20
1583961627,5,21
1583963543,4,17
1583965477,6,17
1583967391,4,12
1583969290,6,9
1583972407,10,34
1583974327,6,6
1583976255,9,10
1583978172,11,8
1583980092,9,17
1583982159,25,4
1583984171,15,8
1583986089,9,9
1583988044,11,7
1583989934,12,5
1583991857,2672,335
1583993778,609,21
1583995697,23,14
1583997609,21,17
1583999528,22,55
1584001451,16,9
1584003407,384,21
1584005313,34,8
1584007267,24,4
1584009228,26,5
1584011300,22,14
1584013213,22,5
1584015164,19,5
1584017058,9,12
1584018972,18,3
1584020919,16,9
1584022827,11,6
1584024730,11,12
1584026535,11,7
1584028349,9,13
1584030257,19,8
1584032170,13,6
1584034114,13,10
1584036119,29,11
1584037963,18,4
1584039785,12,7
1584042071,22,8
1584043963,9,13
1584045881,16,4
1584047802,17,5
1584049943,14,5
1584051853,112,6
1584053776,580,4
1584055693,537,5
1584058812,718,7
1584060727,523,7
1584062650,440,9
1584064977,484,18
1584066973,366,23
1584068904,412,4
1584070816,491,9
1584072751,595,9
1584074654,1452,9
1584076575,1202,81
1584078501,2117,1070
1584080413,892,2087
1584082330,751,495
1584084259,701,501
1584086176,491,557
1584088106,622,419
1584090102,856,825
1584091934,431,407
1584093869,618,237
1584095775,397,27
1584097695,436,19
1584099647,560,20
1584101556,280,18
1584103456,374,9
1584105378,539,17
1584107299,277,15
1584109249,236,11
1584111134,194,9
1584113055,225,13
1584114978,263,6
1584116892,192,20
1584118978,246,12
1584120973,186,15
1584122899,27,24
1584124842,40,18
1584126767,52,11
1584128652,43,19
1584130589,28,12
1584132498,20,11
1584134415,15,10
1584136329,25,12
1584138253,15,132
1584140169,28,753
1584142092,12,667
1584144080,24,690
1584145945,16,566
1584147875,18,608
1584149774,26,711
1584151705,19,490
1584153631,19,585
1584155537,14,560
1584157451,28,701
1584159375,25,604
1584161317,35,584
1584163244,175,429
1584166117,1349,1479
1584168010,652,454
1584169935,112,572
1584171855,34,365
1584173776,28,495
1584175695,31,943
1584177623,26,481
1584179530,29,360
1584181480,26,914
1584183372,39,627
1584185291,32,957
1584187360,52,514
1584189207,59,499
1584191300,64,1303
1584193212,35,540
1584195137,31,517
1584197060,32,441
1584198972,39,508
1584201011,29,477
1584202812,12,461
1584204736,31,458
1584206650,23,495
1584208575,33,60
1584210491,21,76
1584213375,148,186
1584215302,846,49
1584217213,698,23
1584219136,761,21
1584221053,706,18
1584223097,856,27
1584225239,668,28
1584227126,502,19
1584228982,623,15
1584230971,599,18
1584232819,728,19
1584234735,402,15
1584236659,9,26
1584238577,8,29
1584240498,11,17
1584242414,23,13
1584244344,15,26
1584246257,19,12
1584248173,24,36
1584250106,22,15
1584253211,13,1928
1584255129,24,294
1584257080,22,31
1584258973,16,27
1584260889,25,20
1584263777,22,56
1584265692,11,29
1584267633,24,24
1584269531,4,38
1584271463,18,31
1584273389,73,37
1584275290,171,41
1584278177,261,110
1584280112,531,36
1584282028,300,23
1584283942,176,29
1584285871,161,23
1584287791,211,25
1584289708,2370,12
1584291729,17,29
1584293558,16,32
1584295471,12,22
1584297426,16,23
1584299323,9,19
1584301246,13,19
1584303175,9,20
1584305072,5,31
1584306989,13,47
1584308913,278,48
1584310817,17,19
1584312730,8,19
1584314677,11,54
1584316571,11,14
1584318497,12,12
1584321375,24,26
1584323549,12,6
1584325472,10,217
1584327374,5,458
1584329296,9,488
1584331379,6,458
1584333389,44,495
1584335309,309,358
1584337210,1410,400
1584339140,482,340
1584341067,441,461
1584343046,451,380
1584344899,459,447
1584346839,430,414
1584348761,367,37
1584350656,383,12
1584352591,432,12
1584354493,449,19
1584357409,322,16
1584359301,20,35
1584361217,16,134
1584363135,26,173
1584365063,21,114
1584366972,18,159
1584368899,21,163
1584371003,20,123
1584372976,18,175
1584374921,25,168
1584376819,115,2560
1584378741,208,14
1584380678,13,16
1584385697,155,41
1584387620,68,13
1584389551,22,9
1584391456,17,5
1584393386,16,12
1584395295,10,310
1584397229,19,17
1584399131,23,11
1584401056,16,13
1584402988,65,9
1584404893,13,12
1584406956,12,16
1584408976,31,16
1584411153,27,13
1584413079,18,8
1584414975,33,6
1584416924,758,5
1584418813,10,7
1584420744,23,8
1584422651,25,6
1584424586,916,989
1584426487,752,8
1584428506,639,32
1584430379,446,26
1584432518,407,27
1584434414,392,21
1584436351,495,23
1584438249,574,21
1584440179,291,31
1584442111,324,32
1584444025,218,17
1584445936,137,20
1584447860,68,16
1584449788,36,25
1584451700,14,21
1584453703,39,451
1584455556,70,27
1584457468,95,12
1584459377,160,19
1584461309,42,26
1584463462,500,195
1584465380,1427,110
1584467329,420,13
1584469212,28,6
1584471159,122,28
1584473094,351,12
1584474970,258,21
1584476889,64,15
1584479786,63,24
1584481718,34,9
1584483619,10,257
1584485536,36,910
1584487470,8,704
1584489373,19,771
1584491540,15,700
1584493505,10,590
1584495396,19,557
1584497306,21,494
1584499349,8,661
1584501187,17,541
1584503157,12,1445
1584505101,13,215
1584506933,16,176
1584508827,82,25
1584510736,25,100
1584512672,23,93
1584514577,17,142
1584516522,19,92
1584518542,14,88
1584520608,28,70
1584522790,22,108
1584524674,21,124
1584526601,33,84
1584528514,22,95
1584530440,16,102
1584532337,16,97
1584534277,58,86
1584536184,29,33
1584538102,10,13
1584540129,23,25
1584541935,14,102
1584544110,12,170
1584546015,17,185
1584547952,14,96
1584550033,15,152
1584551892,13,42
1584553696,15,10
1584555634,28,72
1584557559,17,338
1584559453,17,929
1584561396,19,1243
1584563292,19,420
1584566184,27,577
1584568090,20,326
1584570033,789,267
1584571938,1967,570
1584573892,2030,23
1584575823,644,88
1584577690,7,47
1584579685,23,88
1584581550,23,138
1584583715,27,210
1584585620,18,71
1584587532,12,194
1584589470,19,155
1584591376,28,155
1584593310,20,64
1584595246,424,256
1584597130,3132,94
1584599049,24,224
1584600984,17,31
1584602894,20,18
1584605776,28,26
1584607707,7,21
1584609629,7,20
1584611532,10,18
