DateTime,AddedIPs,RemovedIPs
1583799635,240,149
1583801528,255,16
1583803450,216,15
1583805372,249,18
1583807558,157,16
1583809492,18,10
1583811371,180,15
1583813327,587,10
1583815250,20,8
1583817139,13,11
1583819053,640,141
1583820972,919,23
1583822897,1591,123
1583824834,2307,161
1583826750,2043,170
1583828679,1812,128
1583830567,2482,167
1583832511,338,164
1583835369,614,260
1583837290,161,181
1583839210,211,145
1583841152,138,181
1583843051,116,135
1583844968,20,163
1583846893,56,510
1583849769,111,242
1583851892,26,199
1583853855,19,172
1583855772,797,187
1583857719,1119,139
1583859709,661,158
1583861546,191,121
1583863475,8,128
1583865374,24,150
1583867336,16,138
1583869230,22,153
1583871154,17,76
1583873056,20,145
1583874979,26,128
1583876890,16,142
1583878812,15,107
1583880739,11,111
1583883613,164,172
1583885785,449,199
1583887699,395,168
1583889622,277,114
1583891556,340,143
1583893472,254,96
1583895376,244,17
1583897291,4,13
1583899296,9,449
1583901151,7,16
1583903118,6,12
1583904971,332,92
1583906912,17,240
1583908813,17,562
1583910736,74,2073
1583912652,44,1705
1583914580,21,1379
1583916528,8,1981
1583918419,9,905
1583920332,7,207
1583922257,12,458
1583924174,10,273
1583926101,9,701
1583928051,2,532
1583929940,17,591
1583932098,7,88
1583934015,9,1142
1583935930,14,641
1583937884,12,17
1583939774,8,27
1583941719,13,455
1583943608,12,1373
1583945561,9,1292
1583947459,13,427
1583949390,11,10
1583951288,6,21
1583953247,8,26
1583955243,9,23
1583957323,15,21
1583959224,7,22
1583961150,9,25
1583963066,7,23
1583964970,12,23
1583966906,5,11
1583968810,9,12
1583970727,3,28
1583972654,12,11
1583974568,6,7
1583976488,17,16
1583979613,20,23
1583981549,30,8
1583983457,16,8
1583985367,11,14
1583987290,21,11
1583990413,297,344
1583992334,3001,18
1583994256,20,21
1583996172,31,15
1583998092,22,47
1584000116,30,28
1584001996,21,14
1584004404,403,27
1584006277,22,10
1584008195,31,8
1584010118,35,9
1584012044,19,14
1584013973,24,4
1584015873,13,18
1584017773,17,8
1584019693,14,7
1584022581,33,21
1584024515,13,15
1584026537,16,12
1584028349,12,14
1584030258,20,9
1584032171,14,7
1584034115,17,14
1584036135,32,12
1584037963,24,5
1584039802,14,8
1584042072,25,11
1584043964,8,15
1584045882,18,5
1584047803,19,10
1584049944,14,8
1584051854,115,11
1584053777,582,5
1584055694,536,8
1584057702,503,5
1584059539,402,6
1584061488,456,11
1584063373,511,16
1584065310,337,16
1584067215,385,27
1584069137,408,8
1584071053,502,11
1584073007,701,14
1584074894,1401,13
1584076816,1422,290
1584078737,1824,2598
1584080656,961,373
1584082571,787,598
1584084517,645,484
1584087377,799,721
1584089296,902,411
1584091211,529,825
1584093129,367,409
1584095051,606,26
1584096970,460,25
1584098888,597,18
1584100900,300,25
1584102738,331,10
1584104656,562,16
1584106572,293,14
1584108493,243,20
1584110412,215,13
1584112334,233,20
1584114250,240,7
1584116178,213,17
1584118093,211,18
1584120012,242,11
1584121931,69,14
1584123850,39,33
1584125779,22,16
1584127692,93,14
1584130591,42,25
1584132499,25,13
1584134416,23,11
1584136330,30,12
1584138254,24,134
1584140170,33,755
1584142093,16,667
1584144099,24,692
1584145946,20,569
1584147884,21,609
1584149775,32,712
1584151705,25,489
1584153632,22,589
1584155538,22,560
1584157452,38,703
1584159389,34,611
1584161318,39,579
1584163246,180,431
1584166118,1359,1480
1584168011,660,455
1584169936,115,573
1584171856,40,368
1584173776,34,494
1584175696,41,942
1584177624,32,486
1584179531,31,362
1584181481,32,918
1584183373,45,628
1584185292,39,957
1584187372,56,518
1584189207,68,501
1584191301,68,1302
1584193212,40,544
1584195138,34,518
1584197060,35,442
1584198973,51,509
1584201012,33,477
1584202812,17,462
1584204737,36,460
1584206650,30,508
1584208575,41,60
1584210492,29,80
1584213376,152,201
1584215303,847,53
1584217213,697,29
1584219136,761,25
1584221054,707,27
1584223099,853,53
1584225240,670,40
1584227128,508,19
1584228982,619,19
1584230971,612,21
1584232819,728,20
1584234736,408,18
1584236659,15,30
1584238578,17,32
1584240498,16,20
1584242415,28,23
1584244345,19,34
1584246258,24,19
1584248173,29,40
1584250106,27,20
1584252098,14,1357
1584253940,32,854
1584255908,15,47
1584257800,30,33
1584259722,23,16
1584261617,33,36
1584263540,17,42
1584265476,17,29
1584267376,25,39
1584269298,16,44
1584271235,24,40
1584273139,61,37
1584275092,169,45
