DateTime,AddedIPs,RemovedIPs
1583761498,3,0
1583763399,2,2
1583765297,2,1
1583767261,3,1
1583769132,2,1
1583771052,2,4
1583772976,3,0
1583774945,2,2
1583777792,4,5
1583779692,2,3
1583781612,4,2
1583783554,6,3
1583785453,1,1
1583787394,4,4
1583789311,3,2
1583791318,0,3
1583793136,5,2
1583795112,1,3
1583796971,2,2
1583798924,0,1
1583800812,4,3
1583802736,0,1
1583804652,1,3
1583806598,0,1
1583808495,2,1
1583812332,1,2
1583816183,0,2
1583818113,1,0
1583820149,1,4
1583821959,2,1
1583824128,0,3
1583826013,3,0
1583827934,1,2
1583829851,1,2
1583831796,1,3
1583833690,0,1
1583835638,1,3
1583837557,1,0
1583839453,1,1
1583841376,1,2
1583843287,1,1
1583846171,0,5
1583848118,2,3
1583850025,5,1
1583851895,3,2
1583853858,2,3
1583855775,1,1
1583857721,2,2
1583859826,1,4
1583861802,4,1
1583863698,2,2
1583865616,3,1
1583867553,1,4
1583869465,3,4
1583871419,3,2
1583873312,2,5
1583875219,2,1
1583877130,3,2
1583879056,3,3
1583880976,1,2
1583882890,0,3
1583885787,1,2
1583887701,2,3
1583889624,3,0
1583891558,1,1
1583893475,1,1
1583895379,3,1
1583897293,4,0
1583899420,1,1
1583901401,3,0
1583905230,4,1
1583907150,2,2
1583909053,0,1
1583910972,4,0
1583912895,1,3
1583914848,1,2
1583916731,7,0
1583918651,1,1
1583920573,1,0
1583922493,1,1
1583925375,2,1
1583927292,0,2
1583929209,2,2
1583931173,1,0
1583933052,1,1
1583934970,0,1
1583936889,1,5
1583939776,4,5
1583941723,1,1
1583943611,0,1
1583945563,2,2
1583947462,3,4
1583949392,0,3
1583951291,0,3
1583953367,0,2
1583955247,4,3
1583957326,0,3
1583959227,1,2
1583961153,4,3
1583963069,0,3
1583964973,1,2
1583966909,2,2
1583968813,3,0
1583970730,1,0
1583972658,2,2
1583974572,0,1
1583976491,0,3
1583979616,2,2
1583981552,1,3
1583983459,0,4
1583985369,2,1
1583987291,2,3
1583990416,2,2
1583992336,2,4
1583994257,2,0
1583996175,2,1
1583998093,3,4
1584000217,3,0
1584002279,1,5
1584004414,1,3
1584006279,0,1
1584008196,1,0
1584010119,3,3
1584012046,2,0
1584015875,2,2
1584017775,0,3
1584019696,2,0
1584021750,2,0
1584023567,2,2
1584025709,3,2
1584027641,1,2
1584031484,1,2
1584033383,2,3
1584035300,1,0
1584039161,1,0
1584041083,1,3
1584043005,0,1
1584044890,2,1
1584046973,2,3
1584048979,5,1
1584050917,2,1
1584052818,1,2
1584054736,3,3
1584056672,2,1
1584058577,1,1
1584060505,3,1
1584064342,1,1
1584066283,3,1
1584068178,2,1
1584070099,1,1
1584072182,4,1
1584074180,1,2
1584076118,1,2
1584078018,0,1
1584079950,4,3
1584081856,2,1
1584083789,5,2
1584085703,2,3
1584087633,1,1
1584089538,3,1
1584091465,0,1
1584093378,1,0
1584095299,1,2
1584098212,0,3
1584100102,2,1
1584102056,1,2
1584103934,1,0
1584105858,0,2
1584107775,5,1
1584109692,3,2
1584111740,1,3
1584113659,2,1
1584115471,1,1
1584117374,2,1
1584119323,3,2
1584121216,3,2
1584123414,4,0
1584125315,2,0
1584127268,1,2
1584129172,1,0
1584131062,1,1
1584132973,4,2
1584134893,3,5
1584136983,4,1
1584138983,0,1
1584140895,2,4
1584142835,1,2
1584144737,0,1
1584146659,4,2
1584148581,2,1
1584150496,2,1
1584152419,0,2
1584154357,1,3
1584156255,3,1
1584158175,0,4
1584160091,3,1
1584162976,0,1
1584164899,1,0
1584166824,1,4
1584168737,1,4
1584170679,1,4
1584172574,2,1
1584174493,2,2
1584176542,1,2
1584178573,1,1
1584182428,2,0
1584184360,2,0
1584186253,0,2
1584188186,0,1
1584190098,2,1
1584192022,2,0
1584193936,2,3
1584195856,0,3
1584197775,1,1
1584199693,1,2
1584202573,1,1
1584204499,2,4
1584206414,2,1
1584208330,2,4
1584210253,0,5
1584212171,0,1
1584214092,1,1
1584216247,1,1
1584218176,1,1
1584220109,0,5
1584222010,0,4
1584223937,1,3
1584225853,2,2
1584228020,1,2
1584229938,3,1
1584231852,4,0
1584233776,3,5
1584235709,3,2
1584237793,2,1
1584239775,4,1
1584241944,2,2
1584243857,0,1
1584245795,2,2
1584247701,2,1
1584251533,1,1
1584253454,1,1
1584255404,2,1
1584257317,2,1
1584259344,1,3
1584261162,1,1
1584263076,0,1
1584264974,1,1
1584266913,2,1
1584268816,3,1
1584270763,2,2
1584272678,4,0
1584274592,2,0
1584276521,0,2
1584278433,2,2
1584280329,0,2
1584282253,2,0
1584284203,1,1
1584286108,2,1
1584288192,1,1
1584290184,2,0
1584292145,3,4
1584294022,2,0
1584295939,0,2
1584297879,3,0
1584299779,0,1
1584303652,2,1
1584305531,1,1
1584309369,1,1
1584311292,1,0
1584314178,2,2
1584316113,1,4
1584318025,1,2
1584319932,2,4
1584321854,3,3
1584323807,3,1
1584325693,0,4
1584327766,0,2
1584329791,1,0
1584331700,2,1
1584333612,0,2
1584335534,0,1
1584337471,0,2
1584339377,1,0
1584341302,1,2
1584343237,1,2
1584345131,2,2
1584347056,2,1
1584348991,2,0
1584350889,0,1
1584354025,2,2
1584355955,1,3
