DateTime,AddedIPs,RemovedIPs
1583800596,26,18
1583802517,17,17
1583804437,24,13
1583806347,22,8
1583808280,22,19
1583810176,25,8
1583812097,20,15
1583814036,15,14
1583815957,19,18
1583817854,19,8
1583819772,21,20
1583821700,23,18
1583823844,17,22
1583825776,17,16
1583827692,7,14
1583829637,20,17
1583831536,16,20
1583833449,15,18
1583835373,13,15
1583837294,17,22
1583839223,19,14
1583841167,8,11
1583843054,11,21
1583844971,20,30
1583846898,11,29
1583849773,19,23
1583851898,13,29
1583853862,19,18
1583855778,16,14
1583857722,7,24
1583859888,16,24
1583861804,14,19
1583863699,20,12
1583865618,16,18
1583867558,14,21
1583869468,17,14
1583871421,18,13
1583873317,10,30
1583875224,16,13
1583877134,16,12
1583879060,12,13
1583880979,11,23
1583882892,10,24
1583886013,28,38
1583887933,16,25
1583889852,15,19
1583891773,26,25
1583893709,13,22
1583895704,18,24
1583897540,27,23
1583899457,22,17
1583901409,16,25
1583903313,25,14
1583905232,24,22
1583907152,25,15
1583909057,18,25
1583910973,22,12
1583912897,25,14
1583914870,21,5
1583916734,15,22
1583918656,16,20
1583920577,19,9
1583922495,18,19
1583924557,24,19
1583926577,14,11
1583928499,9,8
1583930417,21,18
1583932339,26,10
1583934329,18,13
1583936181,11,12
1583938123,11,12
1583940015,22,19
1583941961,12,14
1583943888,14,11
1583945811,24,14
1583947695,13,16
1583950581,24,25
1583952508,25,14
1583954449,15,14
1583956330,15,21
1583958274,13,18
1583960182,20,12
1583962093,16,17
1583964144,8,16
1583965959,19,11
1583967882,15,11
1583969776,21,11
1583971708,20,14
1583973613,21,18
1583975538,16,18
1583977453,13,20
1583979379,18,18
1583981296,18,19
1583983212,15,21
1583985128,29,27
1583987065,17,24
1583989001,18,19
1583990889,11,28
1583992996,19,23
1583994973,22,25
1583996907,12,12
1583998815,16,32
1584000736,15,17
1584002729,21,20
1584004911,9,13
1584006746,9,19
1584008835,50,20
1584011017,122,25
1584013008,76,12
1584014907,20,10
1584016820,85,20
1584018773,12,27
1584020675,7,17
1584022589,8,12
1584024531,15,12
1584026549,16,21
1584028363,9,12
1584030271,20,16
1584032199,25,22
1584034120,10,16
1584036282,18,12
1584038175,16,22
1584040132,19,11
1584042081,13,22
1584043968,10,10
1584045895,18,16
1584047807,12,22
1584049949,18,11
1584051862,9,15
1584053791,24,21
1584055700,16,16
1584057840,22,21
1584059793,15,23
1584061698,21,16
1584063616,23,13
1584065543,18,19
1584067459,16,21
1584069377,12,14
1584071304,20,32
1584073244,11,19
1584075139,27,14
1584077072,12,6
1584078980,15,18
1584080892,19,20
1584083093,26,19
1584084986,13,15
1584086896,22,12
1584088817,27,15
1584090742,8,15
1584092657,15,6
1584094580,13,21
1584096518,12,121
1584098413,13,57
1584100333,17,65
1584102255,11,63
1584104172,21,36
1584106096,10,7
1584108979,20,17
1584110903,13,14
1584112822,9,16
1584114739,12,10
1584116685,17,22
1584118574,23,22
1584120494,14,10
1584123421,22,23
1584125318,28,20
1584127271,18,14
1584129176,11,13
1584131065,17,11
1584132978,22,15
1584134897,21,12
1584136989,15,19
1584138987,19,19
1584140898,6,16
1584142839,29,19
1584144740,18,18
1584146663,14,22
1584148585,12,15
1584150499,12,20
1584152424,11,18
1584154360,19,14
1584156260,13,11
1584158180,25,14
1584160105,18,16
1584162040,25,22
1584163943,14,13
1584165894,17,16
1584167775,18,23
1584169693,16,12
1584171613,14,18
1584173536,18,24
1584175460,23,27
1584177627,10,12
1584179569,12,17
1584181484,10,11
1584183377,20,14
1584185296,10,13
1584187461,17,17
1584189622,24,21
1584191543,16,12
1584193462,11,15
1584195387,13,11
1584197572,17,15
1584199455,15,9
1584201376,13,17
1584203310,17,16
1584206181,21,25
1584208096,10,20
1584210015,14,8
1584211959,24,31
1584213877,13,17
1584215776,12,10
1584217705,17,23
1584219708,22,19
1584221534,11,21
1584223561,11,15
1584225378,22,21
1584227547,19,10
1584229453,19,22
1584231389,16,20
1584233292,10,16
