DateTime,AddedIPs,RemovedIPs
1583804175,43,43
1583806097,40,30
1583808016,34,39
1583809935,33,35
1583811882,54,35
1583813775,32,34
1583815696,52,15
1583817614,54,31
1583819562,45,40
1583821461,53,28
1583823397,67,50
1583825294,45,67
1583828208,41,85
1583830110,38,37
1583832016,23,45
1583833964,25,32
1583835894,38,37
1583837785,26,29
1583839769,22,21
1583841805,27,36
1583843777,40,39
1583845694,49,53
1583847612,62,43
1583849558,50,30
1583851451,45,34
1583853399,54,23
1583855297,42,33
1583857245,57,46
1583859162,50,29
1583861079,55,28
1583863002,51,18
1583864919,52,24
1583867798,57,48
1583869707,29,29
1583871634,61,40
1583873533,36,37
1583875456,29,42
1583877373,31,37
1583879296,33,50
1583881332,48,28
1583883172,39,34
1583885338,42,55
1583887214,35,53
1583889142,29,31
1583891065,20,43
1583892980,27,34
1583894897,34,26
1583896819,45,53
1583898760,29,46
1583900665,25,37
1583902579,31,60
1583904493,45,38
1583906697,35,47
1583908603,55,40
1583910506,39,48
1583912420,52,39
1583914337,34,27
1583916258,43,36
1583918183,29,32
1583920098,46,19
1583922018,46,38
1583923936,46,27
1583925854,38,19
1583927836,46,25
1583929697,21,44
1583931857,37,44
1583933779,53,59
1583935708,54,50
1583937648,60,46
1583939543,39,51
1583941483,49,40
1583943416,39,66
1583945311,33,54
1583947240,31,53
1583949155,86,40
1583951087,34,46
1583953014,32,45
1583954903,37,28
1583957035,49,61
1583958998,42,35
1583960925,79,42
1583962819,82,28
1583964762,73,31
1583966676,28,44
1583968598,50,44
1583970502,40,45
1583972422,39,39
1583974332,30,48
1583976260,31,47
1583978187,30,29
1583980098,37,29
1583982410,63,55
1583984415,77,24
1583986337,56,24
1583988262,85,28
1583990205,104,37
1583992099,87,32
1583994018,73,23
1583995933,80,45
1583997880,92,37
1583999775,107,37
1584001724,97,33
1584003847,98,37
1584006043,154,45
1584007938,82,39
1584009858,73,40
1584011784,58,40
1584013723,94,45
1584015622,148,23
1584017533,80,40
1584019475,90,39
1584021378,87,69
1584023310,160,46
1584026177,203,65
1584028098,143,57
1584030060,63,40
1584031960,56,29
1584033861,65,30
1584035779,48,87
1584037699,25,29
1584039923,35,40
1584042082,31,44
1584043969,20,40
1584045897,18,38
1584047808,28,100
1584049951,30,85
1584051864,38,82
1584053793,51,48
1584055701,47,53
1584057848,55,54
1584059795,41,31
1584061699,39,34
1584063628,34,39
1584065546,44,34
1584067461,34,45
1584069379,42,48
1584071306,39,75
1584073246,41,46
1584075143,25,90
1584077076,27,98
1584078984,34,77
1584080894,26,64
1584083106,31,86
1584084988,17,90
1584086897,22,111
1584088819,28,93
1584090744,44,99
1584092659,25,90
1584094582,7,74
1584096519,12,68
1584098420,22,67
1584100334,25,125
1584102257,21,124
1584104173,41,92
1584106099,38,97
1584108981,34,188
1584110905,22,174
1584112823,17,96
1584114741,18,77
1584116687,18,157
1584118575,21,68
1584120496,30,72
1584123435,86,60
1584125320,66,40
1584127273,51,34
1584129177,32,33
1584131067,28,23
1584132980,32,23
1584134898,44,36
1584136997,46,37
1584138989,35,51
1584140900,20,48
1584142841,22,59
1584144742,43,47
1584146668,38,39
1584148587,30,34
1584150501,33,44
1584152425,21,45
1584154362,34,30
1584156262,40,34
1584158182,27,47
1584160107,48,32
1584162060,28,21
1584163962,35,25
1584165895,42,33
1584167775,91,19
1584169694,40,33
1584171613,29,22
1584173536,36,24
1584175461,33,34
1584177630,32,49
1584179570,38,18
1584181485,27,9
1584183378,36,12
1584185296,24,20
1584187482,28,26
1584189623,26,20
1584191543,23,49
1584193463,37,29
1584195388,39,21
1584197572,40,20
1584199456,34,18
1584201377,21,17
1584203310,26,19
1584206195,47,38
1584208096,40,30
1584210016,36,33
1584211960,38,26
1584213878,45,45
1584215777,26,23
1584217705,30,21
1584219771,23,23
1584221877,32,37
1584223941,26,28
1584225857,22,21
1584228025,30,17
1584229943,32,20
1584231856,20,22
1584233785,16,23
1584235716,23,18
1584237931,19,37
1584239780,27,20
1584241948,29,36
1584243923,28,33
1584245799,28,40
1584247706,29,33
1584249617,24,20
1584251538,18,38
1584253459,36,34
1584255412,33,87
1584257336,40,31
1584259485,102,37
1584261378,49,47
1584263318,59,28
1584265220,60,37
1584267149,52,26
1584269107,30,29
1584271045,49,32
1584272899,35,19
1584274816,35,16
1584276746,45,23
1584278685,25,31
1584280574,54,31
1584282496,52,32
1584285406,71,41
1584287302,70,17
1584289244,20,19
1584291138,26,29
1584293053,27,18
1584295019,34,35
1584296894,30,41
1584299070,16,31
1584301258,29,40
1584303179,152,28
1584305078,247,22
1584306994,21,17
1584308919,28,27
1584310840,18,21
1584312738,19,28
1584314684,21,33
1584316591,26,31
1584318501,31,19
1584320690,36,31
1584322823,20,27
1584324756,25,26
1584326663,27,32
1584328589,29,33
1584330518,38,32
1584332413,24,42
1584334330,41,23
1584336256,39,27
1584338194,45,40
1584340122,46,40
1584342261,89,46
1584344176,63,55
