DateTime,Entries,UniqueIPs
1583808017,33372,33372
1583809936,32355,32355
1583811884,30883,30883
1583813777,29920,29920
1583815697,28704,28704
1583817616,27793,27793
1583819564,26429,26429
1583821490,25635,25635
1583823399,24690,24690
1583825295,23925,23925
1583828210,22767,22767
1583830112,21798,21798
1583832018,20929,20929
1583833966,19912,19912
1583835896,19108,19108
1583837787,17590,17590
1583839771,17534,17534
1583841875,17523,17523
1583843779,17446,17446
1583845696,17311,17311
1583847614,17119,17119
1583849560,17232,17232
1583851453,18135,18135
1583853400,18612,18612
1583855298,18888,18888
1583857248,19179,19179
1583859164,20229,20229
1583861081,21592,21592
1583863004,23127,23127
1583864921,23995,23995
1583868036,26736,26736
1583869951,28964,28964
1583871892,30241,30241
1583873775,32034,32034
1583875689,32436,32436
1583877728,32775,32775
1583879558,33083,33083
1583883375,33713,33713
1583885341,34113,34113
1583887216,34515,34515
1583889145,34869,34869
1583891068,35287,35287
1583892983,35652,35652
1583894902,36050,36050
1583896822,36395,36395
1583898762,36519,36519
1583900667,36852,36852
1583902582,37262,37262
1583904495,37557,37557
1583906702,37958,37958
1583908605,38350,38350
1583910508,38645,38645
1583912422,38910,38910
1583914339,39065,39065
1583916261,39331,39331
1583918186,39610,39610
1583920100,39887,39887
1583922020,40181,40181
1583923949,39969,39969
1583925856,39846,39846
1583927849,39531,39531
1583929699,39331,39331
1583931869,39250,39250
1583933782,38946,38946
1583935711,38713,38713
1583937661,38177,38177
1583939545,37998,37998
1583941486,37900,37900
1583943419,37908,37908
1583945314,36761,36761
1583947244,35278,35278
1583949157,34296,34296
1583951090,33350,33350
1583953017,32452,32452
1583954905,31730,31730
1583957097,30750,30750
1583959000,29959,29959
1583960928,28842,28842
1583962821,28854,28854
1583964764,28834,28834
1583966679,28814,28814
1583968600,28812,28812
1583970504,28603,28603
1583972424,28324,28324
1583974335,27838,27838
1583976262,27371,27371
1583979139,26773,26773
1583981063,26391,26391
1583982978,26006,26006
1583984907,25253,25253
1583986830,24899,24899
1583988735,24482,24482
1583990667,24116,24116
1583992576,23701,23701
1583994530,23316,23316
1583996676,22896,22896
1583998583,22483,22483
1584000511,22128,22128
1584002395,21729,21729
1584004418,21377,21377
1584006283,21018,21018
1584008199,20677,20677
1584010122,20368,20368
1584012049,20035,20035
1584013977,19639,19639
1584015879,19325,19325
1584017779,18920,18920
1584019699,18643,18643
1584021835,18309,18309
1584023794,18050,18050
1584025711,17753,17753
1584027644,17470,17470
1584029547,17205,17205
1584031489,16965,16965
1584033386,16624,16624
1584035304,16291,16291
1584037222,16035,16035
1584039166,15753,15753
1584041088,15452,15452
1584043010,15044,15044
1584044894,14691,14691
1584047074,14366,14366
1584048984,14353,14353
1584050941,14289,14289
