DateTime,AddedIPs,RemovedIPs
1583809937,2,2
1583811884,5,1
1583813777,3,2
1583815702,2,2
1583817616,3,1
1583819564,8,3
1583821491,2,2
1583823399,6,1
1583825300,7,3
1583828212,5,6
1583830113,2,2
1583832020,1,0
1583833967,1,3
1583835897,0,3
1583837789,1,3
1583839772,7,1
1583841896,5,0
1583843784,3,2
1583845697,4,2
1583847616,1,3
1583849561,3,1
1583851454,0,1
1583853401,3,1
1583855299,4,1
1583857251,4,3
1583859165,2,1
1583861082,6,2
1583863005,1,0
1583864922,1,1
1583866946,1,6
1583868752,4,4
1583870576,1,4
1583872585,4,2
1583874514,2,7
1583876425,2,2
1583878366,1,8
1583880261,2,7
1583883173,3,5
1583885010,0,3
1583886972,4,9
1583888894,1,4
1583890829,3,1
1583892739,0,6
1583894688,2,4
1583896582,2,3
1583898493,5,4
1583900413,1,3
1583902331,2,2
1583904254,2,4
1583906176,0,8
1583908097,0,2
1583910210,2,7
1583912174,2,5
1583914102,1,4
1583916017,2,3
1583917941,4,0
1583919865,6,1
1583921774,0,1
1583923699,3,1
1583925615,2,5
1583927533,1,5
1583929455,7,3
1583931375,3,5
1583933294,4,2
1583935441,5,3
1583937376,4,0
1583939182,1,1
1583941003,3,6
1583942901,2,2
1583944842,1,2
1583946756,2,7
1583948659,0,1
1583950620,0,1
1583952514,1,2
1583954455,3,1
1583956336,1,4
1583958278,2,3
1583960187,0,2
1583962098,9,1
1583964195,2,2
1583966200,4,2
1583968092,2,2
1583970014,3,2
1583971947,3,2
1583973856,1,2
1583975778,1,3
1583977700,1,1
1583979622,3,0
1583981557,5,2
1583983467,3,3
1583985380,4,4
1583987296,4,1
1583989510,7,4
1583991386,2,0
1583993305,2,0
1583995241,0,1
1583997141,2,1
1583999067,7,2
1584000983,4,2
1584002910,3,1
1584004915,3,5
1584006752,4,5
1584008928,5,2
1584011114,2,1
1584013033,2,3
1584014912,2,2
1584016824,1,7
1584018776,2,3
1584020678,3,3
1584022592,4,7
1584024535,2,1
1584026553,5,4
1584028366,2,1
1584030277,1,1
1584032205,1,1
1584034124,4,2
1584036287,5,0
1584038179,1,1
1584040136,1,0
1584042088,3,3
1584043971,1,2
