DateTime,AddedIPs,RemovedIPs
1584108915,27,10
1584111637,28,22
1584112814,2,6
1584114134,24,30
1584115814,15,27
1584117732,18,14
1584119650,25,13
1584121225,22,25
1584123250,11,22
1584124090,7,1
1584125770,19,25
1584126851,6,10
1584127694,25,1
1584129414,9,30
1584130453,5,19
1584132133,16,16
1584133816,16,9
1584135014,17,14
1584136512,17,10
1584137673,10,14
1584138913,23,22
1584140113,18,6
1584141252,10,12
1584142092,16,1
1584142936,4,16
1584144853,32,18
1584145693,6,0
1584147010,21,29
1584148179,17,4
1584149291,16,1
1584150590,4,26
1584152050,23,9
1584153628,25,32
1584155003,15,13
1584155652,1,1
1584157332,21,26
1584159017,34,16
1584160828,30,23
1584162852,29,18
1584164030,20,22
1584165220,7,5
1584166515,26,13
1584167712,17,5
1584168913,18,30
1584170051,8,28
1584171733,20,33
1584173420,13,8
1584174615,6,20
1584176162,14,9
1584177312,8,13
1584178933,24,34
1584180613,9,11
1584182533,17,14
1584183636,20,11
1584184817,4,1
1584186131,21,35
1584186972,2,1
1584188113,18,6
1584189311,14,14
1584191414,21,26
1584193334,34,25
1584195020,7,13
1584196932,12,19
1584197773,17,2
1584198914,1,11
1584200113,19,13
1584201370,10,17
1584202516,4,15
1584204134,8,11
1584205820,23,8
1584207173,14,28
1584208398,7,8
1584209714,3,14
1584210493,6,0
1584211664,5,17
1584213013,31,14
1584214176,21,30
1584215710,7,19
1584216900,4,9
1584217692,10,4
1584219371,25,29
1584225415,29,70
1584226569,5,17
1584227652,4,15
1584228910,2,10
1584230170,3,5
1584231250,3,18
1584232094,4,0
1584232931,5,29
1584234614,10,21
1584235691,7,2
1584236922,8,25
1584238219,11,17
1584239415,6,31
1584240614,2,13
1584241812,3,21
1584242893,4,0
1584245051,6,30
1584245652,2,0
1584246883,1,25
1584249020,8,18
1584250931,5,34
1584251774,9,2
1584252849,9,10
1584253692,7,1
1584256450,1,31
1584257284,1,0
1584260050,2,41
1584261730,2,17
1584262575,4,1
1584263653,9,19
1584264490,3,1
1584265623,3,31
1584267013,2,9
1584268217,0,9
1584269710,4,3
1584270912,2,12
1584272534,3,26
1584274454,334,5
1584276134,10,16
1584277815,21,15
1584279733,12,34
1584281650,10,10
1584282493,12,2
1584284114,28,23
1584285254,3,17
1584286511,23,19
1584287710,15,20
1584288850,2,11
1584290111,8,13
1584291312,27,10
1584292450,5,12
1584293290,12,1
1584294538,11,26
1584295237,4,7
1584296414,2,3
1584297730,8,16
1584299413,12,10
1584300615,35,33
1584301759,16,9
1584303250,19,11
1584304093,8,1
1584305411,23,14
1584306616,12,22
1584306849,2,1
1584308533,31,38
1584309371,11,4
1584310513,0,18
1584311293,11,1
1584312972,3,35
1584314114,6,19
1584314892,36,0
1584315731,3,21
1584316571,5,1
1584317713,26,20
1584318491,13,1
1584319334,4,33
1584320172,14,4
1584321245,0,1982
1584322093,2002,0
1584323415,7,26
1584324622,16,24
1584325820,19,27
1584327317,18,12
1584328458,8,23
1584330019,32,14
1584331818,19,36
1584332053,1,0
1584332896,1,1
1584333996,15,30
1584335377,18,16
1584336618,21,24
1584338178,21,8
1584339251,29,13
1584340926,0,1973
1584342855,1964,0
1584344419,41,23
1584346518,22,21
1584347713,14,13
1584349481,38,21
1584350056,5,2
1584350892,4,1
1584352333,20,27
1584353470,6,7
1584355340,21,20
1584357251,28,11
1584358092,26,0
1584359776,21,51
1584360918,8,13
1584362417,15,22
1584364457,24,21
1584365292,2,2
1584366786,20,28
1584368115,8,7
1584369744,24,16
1584370574,21,2
1584371720,8,19
1584372494,6,0
1584373339,22,20
1584374661,5,17
1584375972,7,0
1584376939,12,11
1584377772,19,1
1584378917,3,13
1584380115,19,19
1584381302,12,10
1584382516,6,22
1584384016,20,10
1584385463,21,12
1584386891,34,1
1584388535,25,29
1584389714,8,12
1584390915,23,8
1584392115,23,10
1584393252,11,7
1584394094,5,3
1584394933,6,13
1584396854,38,5
1584398417,2,15
1584400517,10,9
1584401291,37,0
1584402394,6,18
1584403816,13,7
1584405016,33,16
1584407416,16,27
1584409336,38,12
1584411257,11,4
1584412513,23,7
1584414045,14,11
1584415696,29,3
1584416534,16,7
1584418217,13,10
1584419291,9,1
1584420143,18,9
1584421823,25,10
1584423738,35,8
1584425656,29,6
1584427334,30,4
1584429255,16,12
1584430517,22,1
1584431682,25,3
1584432916,8,14
1584434537,23,16
1584435376,15,6
1584436516,6,2
1584438132,22,8
1584439817,11,6
1584440976,13,7
1584443421,24,283
1584445516,20,24
1584446440,7,9
1584447252,2,0
1584448094,3,2
1584448936,10,6
1584450854,22,23
1584452324,15,27
1584454454,5,19
1584455716,12,13
1584456912,25,4
1584458052,1,16
1584458893,2,1
1584459738,17,26
1584461415,11,15
1584463341,11,16
1584465251,23,11
1584466663,9,23
1584467935,11,10
