DateTime,AddedIPs,RemovedIPs
1584108921,27,10
1584111647,28,21
1584112820,2,6
1584114139,23,30
1584115820,15,27
1584117737,18,14
1584119655,25,13
1584121230,22,25
1584123254,11,21
1584124095,7,1
1584125775,19,25
1584126856,6,11
1584127699,26,1
1584129420,9,30
1584130457,5,18
1584132138,15,16
1584133822,17,8
1584135022,16,14
1584136517,17,10
1584137679,10,14
1584138918,22,20
1584140117,18,6
1584141258,10,12
1584142097,16,1
1584142941,3,16
1584144857,31,18
1584145697,6,0
1584147016,21,29
1584148184,17,4
1584149295,16,1
1584150597,4,26
1584152055,23,9
1584153633,25,32
1584155008,15,13
1584155657,1,1
1584157336,21,26
1584159023,34,16
1584160834,30,23
1584162857,29,18
1584164035,20,22
1584165226,6,5
1584166523,26,13
1584167717,17,5
1584168918,18,30
1584170055,7,28
1584171737,20,32
1584173425,13,8
1584174620,6,19
1584176167,14,9
1584177317,7,13
1584178938,24,34
1584180618,9,11
1584182538,17,14
1584183646,20,11
1584184822,4,1
1584186135,21,35
1584186976,2,1
1584188119,19,5
1584189315,13,13
1584191419,21,25
1584193339,33,25
1584195026,7,13
1584196937,12,19
1584197777,17,2
1584198919,1,11
1584200118,19,13
1584201375,10,17
1584202523,4,15
1584204139,8,11
1584205825,23,9
1584207177,14,27
1584208403,7,8
1584209720,3,14
1584210498,6,0
1584211669,5,17
1584213018,31,14
1584214182,21,30
1584215714,7,19
1584216908,4,9
1584217697,10,4
1584219375,26,29
1584225419,28,61
1584226574,5,17
1584227657,4,15
1584228915,3,10
1584230174,2,5
1584231255,3,18
1584232098,4,0
1584232936,5,29
1584234619,10,21
1584235696,6,2
1584236926,8,25
1584238224,11,17
1584239424,6,32
1584240619,2,12
1584241818,3,21
1584242898,3,0
1584245056,6,29
1584245656,2,0
1584246888,1,26
1584249025,6,16
1584250935,5,34
1584251778,8,2
1584252854,9,10
1584253696,7,1
1584256455,1,31
1584257289,1,0
1584260054,2,41
1584261734,2,17
1584262581,5,1
1584263657,8,19
1584264495,3,1
1584265627,3,31
1584267018,2,8
1584268224,0,9
1584269714,3,3
1584270917,2,11
1584272538,3,26
1584274458,334,5
1584276139,10,16
1584277820,21,15
1584279738,12,34
1584281655,10,10
1584282497,12,2
1584284119,28,23
1584285259,3,17
1584286516,23,20
1584287715,15,19
1584288855,2,11
1584290115,8,13
1584291316,27,10
1584292454,5,12
1584293294,12,1
1584294542,11,26
1584295245,4,7
1584296419,2,3
1584297735,8,16
1584299418,12,10
1584300624,35,33
1584301763,16,9
1584303254,17,10
1584304097,6,1
1584305416,21,13
1584306621,12,22
1584306854,2,1
1584308537,31,38
1584309375,11,4
1584310520,0,18
1584311298,11,1
1584312977,3,35
1584314121,6,18
1584314897,36,0
1584315737,3,21
1584316576,5,1
1584317720,26,20
1584318495,13,1
1584319338,4,33
1584320176,14,4
1584321255,6,21
1584322099,35,0
1584323422,7,26
1584324630,16,24
1584325832,19,27
1584327324,18,11
1584328464,8,23
1584330047,32,22
1584331826,19,27
1584332060,1,0
1584332902,1,1
1584334003,15,30
1584335384,18,16
1584336629,21,24
1584338185,16,8
1584339257,28,13
1584340932,15,34
1584342861,26,15
1584344446,42,26
1584346528,20,18
1584347719,13,12
1584349488,38,21
1584350062,5,2
1584350899,4,1
1584352342,20,28
1584353481,6,7
1584355364,20,20
1584357257,28,10
1584358097,25,0
1584359783,20,50
1584360924,8,13
1584362443,16,28
1584364464,24,14
1584365298,2,2
1584366795,20,28
1584368124,8,7
1584369759,24,16
1584370580,21,2
1584371729,8,19
1584372501,6,0
1584373346,22,20
1584374667,4,17
1584375980,7,0
1584376963,12,11
1584377778,19,1
1584378924,3,13
1584380124,19,19
1584381315,12,10
1584382523,6,22
1584384023,20,10
1584385469,20,12
1584386898,33,1
1584388541,25,28
1584389720,8,12
1584390921,23,8
1584392120,23,10
1584393259,11,7
1584394100,5,3
1584394939,6,13
1584396860,38,5
1584398423,2,15
1584400524,10,9
1584401298,36,0
1584402402,6,17
1584403822,13,7
1584405024,33,15
1584407423,15,26
1584409348,38,12
1584411262,11,4
1584412519,23,6
1584415224,23,12
1584415703,25,1
1584416540,11,8
1584418224,13,8
1584419298,19,1
1584420161,9,11
1584421831,25,9
1584423752,33,8
1584425662,29,5
1584427340,30,4
1584429260,16,12
1584430524,22,1
1584431688,24,3
1584432924,8,15
1584434543,23,15
1584435382,15,6
1584436523,6,2
1584438139,23,7
1584439824,10,6
1584440982,13,7
1584443427,23,283
1584445522,20,24
1584446457,7,8
1584447258,2,0
1584448100,3,2
1584448943,10,6
1584450862,22,23
1584452330,15,27
1584454461,4,19
1584455722,12,11
1584456919,24,4
1584458057,1,16
1584458900,4,1
1584459744,15,26
1584461422,11,14
1584463348,11,16
1584465257,21,11
1584466669,9,23
1584467942,11,10
1584468857,1,3
1584470037,10,23
1584471317,16,15
1584472523,2,20
1584473723,16,21
1584475127,13,20
1584476059,3,4
1584477643,10,29
1584478579,15,3
1584479662,3,14
1584480923,23,18
1584482118,10,6
1584483263,5,8
1584484102,12,1
1584485421,3,33
1584486866,21,18
1584487699,2,1
1584489019,12,10
1584490457,16,17
1584491299,4,0
1584492978,27,43
1584494124,2,17
1584494899,14,2
1584495740,4,19
1584497428,15,14
1584498497,25,2
1584499990,13,39
1584501275,3,9
1584502519,21,3
1584503723,20,5
1584504925,2,23
1584505705,3,2
1584507319,31,25
1584508523,0,15
1584510147,18,34
1584510979,2,1
1584512058,19,11
1584513319,13,11
1584515202,16,50
1584516919,11,19
1584518520,10,35
1584519630,6,4
1584520844,4,23
1584521778,15,1
1584522927,1,19
1584523700,1,0
1584525384,10,27
1584526523,7,10
1584528043,3,24
1584530057,2,18
1584531318,5,30
1584533011,3,13
1584535337,3,12
1584537262,5,11
1584539419,5,33
1584540633,2,19
1584541705,11,1
1584544458,5,34
1584547488,11,42
1584548058,7,1
1584549649,21,9
1584551659,18,17
1584553340,12,35
1584554177,5,0
1584555257,1,11
1584556939,4,35
1584558135,19,27
1584559703,12,2
1584561020,2,51
1584562231,5,38
1584564145,8,17
1584565822,19,17
1584567002,18,21
1584568251,3,10
1584569421,3,8
1584570926,7,28
1584572605,23,13
1584574231,13,27
1584574938,0,6
1584576356,20,17
1584577520,3,1
1584578538,14,45
1584580462,19,12
1584582020,15,24
1584583587,13,21
1584584720,2,4
1584585739,20,66
1584587425,12,15
1584589342,13,29
1584591258,19,20
1584592942,16,42
1584594631,14,12
1584595837,14,34
1584598461,17,26
1584599299,22,1
1584600143,0,38
1584600978,13,1
1584602061,2,37
1584602901,2,4
1584603737,18,33
1584605659,6,41
1584606499,16,1
1584608120,20,32
1584609260,3,15
1584610941,11,22
1584611779,8,2
1584612922,3,15
1584613704,13,1
1584614539,6,23
1584616228,25,12
1584618140,31,22
1584618978,6,3
1584620124,6,8
1584621382,15,9
1584622525,23,3
1584623725,4,8
1584624921,15,23
1584626796,30,15
1584627942,15,1
1584629423,16,9
1584630625,26,13
1584631831,21,9
1584633382,4,13
1584634523,0,3
1584636140,11,9
1584638057,17,9
1584639645,23,22
1584640904,11,4
1584641663,0,2
1584643338,8,4
1584645258,21,20
1584646943,20,21
1584648139,24,10
1584649828,21,6
1584651378,25,5
1584652523,5,13
1584653301,23,0
1584654982,28,28
1584656124,8,23
1584657321,8,8
1584659432,40,21
1584660625,16,5
1584662179,25,7
1584663321,7,11
1584664102,20,2
1584665490,8,34
1584666858,23,12
1584668122,34,19
1584669320,27,8
1584670458,23,14
1584672144,20,34
1584674062,20,9
1584675924,16,17
1584677422,18,7
1584679339,32,26
1584681029,23,5
1584682700,26,30
1584683827,8,4
1584684864,25,13
1584685702,19,2
1584686549,4,22
1584687712,15,23
1584688825,11,2
1584690619,34,15
1584691828,14,14
1584693744,5,16
1584695658,14,4
1584697522,37,8
1584699261,21,8
1584700942,24,9
1584702861,25,5
1584703697,16,2
1584705435,12,15
1584707302,21,5
1584709314,18,18
1584710901,13,2
1584711738,3,19
1584713429,9,5
1584715339,17,9
1584716182,19,0
1584717321,2,5
1584718097,25,1
1584718938,4,33
1584720862,10,5
1584722540,7,5
1584723377,17,1
1584724522,1,10
1584726022,10,14
1584727821,11,7
1584729743,7,9
1584731423,26,6
1584733344,18,21
1584735030,17,11
1584736097,10,0
1584738621,15,18
1584739832,24,21
1584742459,32,27
1584744138,14,16
1584746061,22,13
1584747319,27,8
1584748580,16,3
1584749724,4,16
1584750498,17,3
1584751340,3,28
1584753259,26,14
1584754821,24,24
1584756928,20,12
1584757702,20,1
1584758540,4,22
1584759379,15,1
1584760524,4,14
1584761299,31,0
1584762145,2,21
1584762980,23,3
1584764064,5,11
1584765256,13,15
1584766413,10,6
1584767723,5,13
1584769338,21,20
1584770180,4,2
1584771257,27,9
1584772938,14,20
1584774624,16,11
1584776539,15,17
1584778462,14,12
1584780142,7,5
1584781824,9,9
1584782898,14,1
1584784218,11,34
1584785657,4,10
1584786915,4,8
1584788452,10,14
1584789554,6,5
