DateTime,AddedIPs,RemovedIPs
1584105242,105,58
1584106336,39,87
1584107763,51,25
1584108903,48,53
1584111627,97,157
1584112804,43,0
1584114123,67,106
1584115805,64,76
1584117723,107,84
1584119643,79,49
1584121215,76,123
1584123243,44,56
1584124083,27,0
1584125762,75,108
1584126843,54,49
1584127683,51,0
1584129407,67,114
1584130443,52,59
1584132123,78,72
1584133804,53,42
1584135004,43,77
1584136502,48,26
1584137666,51,189
1584138903,71,214
1584140104,56,27
1584141243,59,40
1584142083,64,0
1584142924,28,113
1584144843,84,77
1584145683,38,0
1584147002,61,169
1584148170,46,83
1584149283,49,0
1584150583,43,167
1584152043,71,76
1584153616,73,159
1584154995,78,86
1584155643,22,0
1584157322,75,129
1584159005,69,77
1584160816,109,146
1584162844,84,97
1584164022,46,109
1584165212,42,26
1584166504,48,88
1584167703,39,121
1584168903,51,60
1584170043,37,91
1584171724,62,154
1584173403,64,75
1584174606,48,96
1584176155,64,42
1584177302,38,74
1584178923,65,142
1584180603,43,103
1584182524,76,142
1584183625,33,67
1584184806,41,1
1584186122,54,155
1584186963,23,0
1584188104,43,64
1584189303,51,77
1584191405,73,110
1584193323,73,124
1584195003,60,44
1584196923,59,168
1584197764,30,0
1584198903,36,90
1584200104,31,68
1584201362,57,39
1584202505,38,51
1584204126,81,88
1584205805,66,36
1584207164,52,81
1584208385,42,30
1584209703,49,45
1584210483,25,0
1584211657,60,90
1584213003,77,57
1584214168,38,91
1584215702,70,30
1584216892,44,44
1584217683,35,1
1584219363,78,97
1584225408,213,216
1584226562,39,93
1584227643,120,71
1584228902,49,73
1584230163,51,28
1584231243,43,65
1584232085,40,0
1584232923,36,117
1584234604,71,71
1584235683,44,1
1584236914,56,106
1584238204,70,71
1584239405,50,98
1584240605,77,32
1584241699,29,65
1584242883,45,0
1584245643,111,149
1584246876,46,98
1584249003,87,82
1584250923,82,116
1584251765,33,0
1584253682,17,21099
1584256443,21050,27
1584257283,39,0
1584260043,88,160
1584261722,75,112
1584262563,37,0
1584264483,94,53
1584265615,40,114
1584267003,39,55
1584268206,51,62
1584269703,43,36
1584270902,48,63
1584272524,57,111
1584274444,203,68
1584276123,67,97
1584277805,72,48
1584279724,79,109
1584281643,75,46
1584282482,36,2
1584284103,73,103
1584285245,45,65
1584286503,49,91
1584287703,60,32
1584288843,36,64
1584290103,58,82
1584291304,61,31
1584292443,42,48
1584293282,33,0
1584295226,82,162
1584296404,39,0
1584297723,55,87
1584299405,64,44
1584300604,51,107
1584301752,37,24
1584303242,47,31
1584304082,110,0
1584305403,245,68
1584306604,194,55
1584306842,47,0
1584308523,247,106
1584309363,104,0
1584311283,170,77
1584312963,140,129
1584314103,104,52
1584314882,108,2
1584315723,83,92
1584316564,60,0
1584317703,100,54
1584318483,40,1
1584319323,66,99
1584320163,57,0
1584322083,158,68
1584323407,95,102
1584324604,86,69
1584325806,67,57
1584327304,92,20
1584328444,56,57
1584330004,106,73
1584331804,99,105
1584332043,8,0
1584332885,58,0
1584333983,76,88
1584335370,76,48
1584336606,67,68
1584338163,94,21
1584339243,61,55
1584340924,95,95
1584342843,86,46
1584344406,94,87
1584346504,81,83
1584347704,76,58
1584349472,98,68
1584350045,25,0
1584350884,32,1
1584352317,77,79
1584353459,44,37
1584355325,90,91
1584357244,118,46
1584358084,39,1
1584359764,84,108
1584360904,247,42
1584362403,71,66
1584364444,87,61
1584365283,27,0
1584366778,54,87
1584368104,66,37
1584369727,74,90
1584370564,39,0
1584372484,75,46
1584373328,40,98
1584374652,43,47
1584375959,42,0
1584376926,50,90
1584377764,39,0
1584378903,44,44
1584380105,60,67
1584381294,58,29
1584382503,46,70
1584384003,78,57
1584385454,71,71
1584386884,76,1
1584388525,74,86
1584389703,55,40
1584390903,51,63
1584392103,75,20
1584393244,66,17
1584394083,33,0
1584394925,35,76
1584396843,83,38
1584398404,71,148
1584400504,76,61
1584401283,40,0
1584402378,48,81
1584403803,66,44
1584405005,48,55
1584407403,120,72
1584409324,87,102
1584411243,88,35
1584412504,48,44
1584414031,55,52
1584415686,82,1
1584416523,39,76
1584418206,89,51
1584419283,31,2
1584420127,39,72
1584421803,79,56
1584423723,86,113
1584425643,96,44
1584427324,68,86
1584429243,87,45
1584430504,60,70
1584431674,58,27
1584432903,37,56
1584434524,84,93
1584435364,43,1
1584436504,34,40
1584438124,72,99
1584439804,68,51
1584440967,61,60
1584443404,115,336
1584446429,130,165
1584447243,34,4
1584448083,31,1
1584448924,30,103
1584450843,68,93
1584452315,59,96
1584454444,79,77
1584455703,48,93
1584456903,68,38
1584458044,42,77
1584458883,38,1
1584459726,25,140
1584461405,43,88
1584463326,40,119
1584465243,88,78
1584466655,150,100
1584467927,122,108
1584468843,56,9
1584470022,99,92
1584471303,80,32
1584472503,88,53
1584473703,56,92
1584475061,89,38
1584476043,72,72
1584477604,114,113
1584478564,67,25
1584479644,56,86
1584480904,86,119
1584482104,75,26
1584483244,76,58
1584484083,41,0
1584485404,80,154
1584486844,91,75
1584487683,37,0
1584489004,76,118
1584490443,89,69
1584491283,45,0
1584492963,92,155
1584494104,55,62
1584494884,30,1
1584495724,41,125
1584497405,73,67
1584498483,58,0
1584499974,76,138
1584501258,59,60
1584502504,65,120
1584503704,54,57
1584504904,38,76
1584505687,33,0
1584507304,102,111
1584508503,45,61
1584510126,73,112
1584510963,28,0
1584512044,60,56
1584513305,57,95
1584515186,79,112
1584515643,11,0
1584516904,39,95
1584518491,66,107
1584519604,26,2
1584520806,43,82
1584521763,53,25
1584522903,35,69
1584523684,32,0
1584525364,67,127
1584526504,45,70
1584528004,54,86
1584530044,68,120
1584531304,50,325
1584532996,61,82
1584533644,23,0
1584535323,74,95
1584537243,73,56
1584538084,37,0
1584539404,52,113
1584540605,43,54
1584541686,55,2
1584544443,91,137
1584547474,85,147
1584548043,36,0
1584549603,62,67
1584551643,95,86
1584553324,102,108
1584554163,37,0
1584555243,46,62
1584556924,82,118
1584558114,61,78
1584559683,90,1
1584561004,71,113
1584562203,51,84
1584564124,91,103
1584565805,57,57
1584566985,60,93
1584568236,47,24
1584569403,40,60
1584570906,54,80
1584572582,66,86
1584574204,72,75
1584574924,22,32
1584576341,51,64
1584577504,42,2
1584578524,41,122
1584580443,85,62
1584582003,50,84
1584583570,73,74
1584584704,35,0
1584585725,43,142
1584587406,65,68
1584589324,84,106
1584591243,61,63
1584592925,50,117
1584594605,81,56
1584595806,48,82
1584598445,103,86
1584599283,40,0
1584600127,37,109
1584600964,44,0
1584602044,39,89
1584602883,34,0
1584603723,35,115
1584605643,64,80
1584606484,33,0
1584608104,49,116
1584609244,46,78
1584610923,66,109
1584611763,55,0
1584612904,67,59
1584613683,42,1
1584614525,35,138
1584616203,98,47
1584618124,106,89
1584618963,41,1
1584620104,48,55
1584621367,62,66
1584622503,68,17
1584623705,61,65
1584624904,57,76
1584626781,100,102
1584627916,48,0
1584629404,77,86
1584630604,65,45
1584631798,56,50
1584633363,52,25
1584634503,42,37
1584636124,83,89
1584638043,69,43
1584639604,73,72
1584640878,82,84
1584641644,46,0
1584643322,92,80
1584645243,106,68
1584646923,66,90
1584648105,69,51
1584649204,51,2
1584650403,57,70
1584651364,48,19
1584652505,49,71
1584653283,41,1
1584654964,84,123
1584656104,43,60
1584657303,58,54
1584659404,108,102
1584660604,54,65
1584662164,78,28
1584663303,46,53
1584664083,32,0
1584665475,57,97
1584666843,52,47
1584668104,62,75
1584669304,65,25
1584670443,51,49
1584672124,83,122
1584674043,77,49
1584675904,76,98
1584677404,64,54
1584679324,92,95
1584681003,59,29
1584682680,61,104
1584683808,37,28
1584684843,46,57
1584685684,34,1
1584686526,31,93
1584687669,46,77
1584688803,46,1
1584690604,75,92
1584691804,49,50
1584693724,71,103
1584695644,75,57
1584697504,78,98
1584699243,74,53
1584700924,66,96
1584702843,89,52
1584703683,34,0
1584705415,58,114
1584706803,44,59
1584707284,18,0
1584709274,69,157
1584710883,48,1
1584711724,25,95
1584713403,53,30
1584715324,71,72
1584716164,33,0
1584717304,21,34
1584718083,32,0
1584718923,98,109
1584720843,186,38
1584722523,70,90
1584723363,37,1
1584724504,45,53
1584725999,128,59
1584727804,144,76
1584729724,162,114
1584731403,111,55
1584733326,82,113
1584735003,97,49
1584736083,49,1
1584738603,104,148
1584739803,56,65
1584742443,125,79
1584744124,69,91
1584746043,105,47
1584747304,58,63
1584748563,47,26
1584749703,37,54
1584750484,37,1
1584751324,33,116
1584753243,120,75
1584754803,90,92
1584756904,69,77
1584757683,43,1
1584758526,39,103
1584759364,45,0
1584760503,33,57
1584761284,31,0
1584762124,30,80
1584762964,38,0
1584764043,45,62
1584765237,59,78
1584766398,50,23
1584767703,54,68
1584769323,72,130
1584770163,30,0
1584771243,40,71
1584772924,66,111
1584774605,69,63
1584776523,72,81
1584778443,62,57
1584780124,63,75
1584781805,64,45
1584782884,36,2
1584784203,45,112
1584785643,42,60
1584786897,45,88
1584788425,52,83
1584789533,53,1
