DateTime,AddedIPs,RemovedIPs
1583734454,2,0
1583739739,1,1
1583741655,2,0
1583743333,3,1
1583747337,0,1
1583748437,0,2
1583756895,1,0
1583763317,0,1
1583768115,0,1
1583772138,1,2
1583773823,2,1
1583775022,1,1
1583777415,1,0
1583778621,0,1
1583780836,1,1
1583782513,0,1
1583784855,1,0
1583786074,1,0
1583787313,0,1
1583788455,1,2
1583790136,0,1
1583791815,1,1
1583795237,1,2
1583796494,2,0
1583798113,0,1
1583800828,0,3
1583802422,1,0
1583803822,1,1
1583806453,0,1
1583808132,2,3
1583811385,0,1
1583813418,1,4
1583815334,3,1
1583822116,2,2
1583823313,2,1
1583824517,0,2
1583828053,1,1
1583829319,1,2
1583830717,0,1
1583833230,0,3
1583835619,2,0
1583836830,0,3
1583840535,1,6
1583842456,2,1
1583844315,1,0
1583847632,1,0
1583851515,1,1
1583855230,1,0
1583857821,0,1
1583859225,1,0
1583862136,1,0
1583863519,1,0
1583867419,1,1
1583868491,1,0
1583870114,1,0
1583871255,0,2
1583872096,2,0
1583872934,1,1
1583874538,2,1
1583875695,2,0
1583876531,0,1
1583877377,1,0
1583878513,2,1
1583882054,1,4
1583883312,1,1
1583885654,3,2
1583887333,0,3
1583889254,0,1
1583890932,2,1
1583894533,0,1
1583896455,1,1
1583897293,1,0
1583898134,2,2
1583900894,1,0
1583902634,2,2
1583904017,0,1
1583905337,0,2
1583907254,1,0
1583909590,1,0
1583910917,0,1
1583912532,0,1
1583914521,1,2
1583916136,1,3
1583916975,1,0
1583921716,1,0
1583923337,1,0
1583925023,0,1
1583926935,1,1
1583928854,1,0
1583932515,1,0
1583937737,1,0
1583942172,1,0
1583943254,2,1
1583944512,1,0
1583945923,0,1
1583948534,1,1
1583950215,2,0
1583951417,1,0
1583955734,1,0
1583957652,1,0
1583961253,1,3
1583962095,1,0
1583963712,1,1
1583964854,3,2
1583966715,2,1
1583968454,13,0
1583970029,0,1
1583972116,1,0
1583973916,1,2
1583975718,2,0
1583979024,1,0
1583982855,1,1
1583984536,1,3
1583985374,1,0
1583988137,1,0
1583990056,2,0
1583990892,1,0
1583991734,1,0
1583993414,0,2
1583998937,0,1
1584000853,0,1
1584002014,0,1
1584003646,1,0
1584006976,1,1
1584008119,1,0
1584011423,0,1
1584012619,0,1
1584013906,0,1
1584015019,1,0
1584020434,1,0
1584022455,0,1
1584025816,0,1
1584026973,0,1
1584033256,0,3
1584039702,1,0
1584040814,1,0
1584042132,0,3
1584044052,0,2
1584045313,1,2
1584046852,1,1
1584048014,1,0
1584049229,1,3
1584051315,1,0
1584052937,1,2
1584054624,0,1
1584056532,4,2
1584060134,1,3
1584062055,1,2
1584063734,1,1
1584065717,1,1
1584066494,1,0
1584067335,2,2
1584068174,1,0
1584069253,1,0
1584070396,0,1
1584072349,1,0
1584073694,1,0
1584075315,2,1
1584076518,0,1
1584083652,1,1
1584085228,0,1
1584087258,0,2
1584090499,0,1
1584092532,1,4
1584094454,1,0
1584095293,1,1
1584096136,1,2
1584099735,2,0
1584101656,2,1
1584105259,1,0
1584106700,0,2
1584108918,0,1
1584114136,2,0
1584117734,1,0
1584119653,2,2
1584121227,0,4
1584125772,2,2
1584126853,1,0
1584127696,1,0
1584129416,0,1
1584130455,1,0
1584132135,0,3
1584133819,1,1
1584135016,1,4
1584137675,1,13
1584138915,0,1
1584142094,1,0
1584142938,0,3
1584144855,1,0
1584145695,1,0
1584147012,0,1
1584148181,1,0
1584149293,1,0
1584150593,1,1
1584152052,3,1
1584153630,1,1
1584155006,0,3
1584155654,1,0
1584157334,1,1
1584159019,0,1
1584160830,1,1
1584162855,1,1
1584164032,1,1
1584165222,2,0
1584171734,1,0
1584173422,0,1
1584177315,1,1
1584178935,0,1
1584180616,2,1
1584183639,2,0
1584186133,0,1
1584191416,1,0
1584195023,1,0
1584196934,2,0
1584198916,1,0
1584211666,1,1
1584214178,1,1
1584215712,3,0
1584219373,1,1
1584225417,0,2
1584226571,0,2
1584227655,1,1
1584228912,2,1
1584231252,0,1
1584232933,1,1
1584234616,1,0
1584235693,1,0
1584236923,1,3
1584238221,0,1
1584239419,1,0
1584241815,0,1
1584245053,1,4
1584250933,1,0
1584252851,0,1
1584256452,1,1
1584260052,1,2
1584262578,1,0
1584267015,0,1
1584268220,0,2
1584269712,0,1
1584270914,1,0
1584272536,0,1
1584274455,1,0
1584284117,0,1
1584288852,0,2
1584290112,2,0
1584291314,1,0
1584292452,1,2
1584293291,1,0
1584294540,0,2
1584297732,1,1
1584299415,1,1
1584300618,0,1
1584301761,1,1
1584303252,1,1
1584305413,0,2
1584306618,1,1
1584308534,2,1
1584310517,1,0
1584311295,1,0
1584312974,0,1
1584314118,3,1
1584314894,1,0
1584315733,0,1
1584317716,2,0
1584319335,3,3
1584320173,1,0
1584321250,1,0
1584325825,1,1
1584327320,0,1
1584331821,3,2
1584333999,0,2
1584335381,1,0
1584337821,1,2
1584338181,1,0
1584339254,1,1
1584342196,1,0
1584342857,1,0
1584346524,2,1
1584349484,0,1
1584350895,1,0
1584352338,1,1
1584353477,1,2
1584360921,2,0
1584362420,0,1
1584364460,2,0
1584366792,1,0
1584368118,2,0
1584369750,1,3
1584380120,0,1
1584384019,0,3
1584385465,1,2
1584392117,1,0
1584394096,1,0
1584394936,0,2
1584396857,1,0
1584398420,5,2
1584400520,2,1
1584405019,1,1
1584407419,1,2
1584409344,3,3
1584414053,1,1
