DateTime,Entries,UniqueIPs
1584115812,11847,11847
1584117731,11874,11874
1584119649,11892,11892
1584121224,11869,11869
1584123249,11866,11866
1584124089,11874,11874
1584125769,11860,11860
1584126850,11866,11866
1584127692,11861,11861
1584129413,11839,11839
1584130451,11845,11845
1584132131,11865,11865
1584133814,11867,11867
1584135012,11847,11847
1584136510,11858,11858
1584137671,11737,11737
1584138912,11594,11594
1584140112,11606,11606
1584141251,11625,11625
1584142091,11644,11644
1584142934,11634,11634
1584144851,11639,11639
1584145691,11649,11649
1584147009,11641,11641
1584148177,11638,11638
1584149290,11646,11646
1584150589,11633,11633
1584152049,11637,11637
1584153626,11628,11628
1584155002,11644,11644
1584155650,11655,11655
1584157331,11662,11662
1584159015,11652,11652
1584160826,11652,11652
1584162851,11636,11636
1584164029,11625,11625
1584165219,11640,11640
1584166513,11626,11626
1584167711,11607,11607
1584168911,11615,11615
1584170050,11613,11613
1584171731,11592,11592
1584173419,11592,11592
1584174613,11607,11607
1584176161,11622,11622
1584177311,11617,11617
1584178931,11568,11568
1584180611,11547,11547
1584182532,11506,11506
1584183634,11478,11478
1584184815,11491,11491
1584186130,11433,11433
1584186970,11446,11446
1584188111,11442,11442
1584189310,11433,11433
1584191412,11417,11417
1584193332,11369,11369
1584195019,11372,11372
1584196931,11297,11297
1584197772,11306,11306
1584198912,11276,11276
1584200112,11252,11252
1584201368,11260,11260
1584202515,11260,11260
1584204133,11261,11261
1584205819,11265,11265
1584207171,11261,11261
1584208397,11271,11271
1584209712,11282,11282
1584210492,11288,11288
1584211663,11300,11300
1584213011,11308,11308
1584214175,11285,11285
1584215709,11308,11308
1584216899,11312,11312
1584217691,11326,11326
1584219370,11329,11329
1584225414,11348,11348
1584226568,11326,11326
1584227651,11322,11322
1584228909,11323,11323
1584230169,11342,11342
1584231249,11350,11350
1584232093,11363,11363
1584232930,11348,11348
1584234613,11352,11352
1584235690,11375,11375
1584236920,11357,11357
1584238217,7967,7967
1584239413,11365,11365
1584240613,11401,11401
1584241811,11397,11397
1584242892,11409,11409
1584245049,11400,11400
1584245651,11414,11414
1584246882,11393,11393
1584249019,11419,11419
1584250930,11417,11417
1584251772,11426,11426
1584252848,11415,11415
1584253691,11437,11437
1584256449,11422,11422
1584257283,7967,7967
1584260049,11412,11412
1584261728,11408,11408
1584262573,11423,11423
1584263651,11432,11432
1584264489,11445,11445
1584265622,11427,11427
1584267012,11427,11427
1584268215,11444,11444
1584269709,11453,11453
1584270910,11453,11453
1584272532,11435,11435
1584274452,11232,11232
1584276133,11232,11232
1584277814,11230,11230
1584279732,11218,11218
1584281649,11218,11218
1584282491,11225,11225
1584284113,11201,11201
1584285253,11196,11196
1584286510,11168,11168
1584287709,11172,11172
1584288849,11152,11152
1584290109,11140,11140
1584291311,11145,11145
1584292449,11153,11153
1584293289,11161,11161
1584294537,11152,11152
1584295235,11150,11150
1584296412,11165,11165
1584297729,11164,11164
1584299412,11175,11175
1584300613,11135,11135
1584301758,11134,11134
1584303249,11128,11128
1584304091,11145,11145
1584305409,11132,11132
1584306614,11132,11132
1584306848,11141,11141
1584308531,11111,11111
1584309370,11122,11122
1584310512,11100,11100
1584311290,11119,11119
1584312970,11094,11094
1584314112,11092,11092
1584314891,11090,11090
1584315730,11080,11080
1584316570,11094,11094
1584317711,11085,11085
1584318489,11091,11091
1584319332,11083,11083
1584320170,11090,11090
1584321245,7967,7967
1584322092,11083,11083
1584323414,11065,11065
1584324620,11049,11049
1584325817,11052,11052
1584327314,11067,11067
1584328454,11074,11074
1584330016,11066,11066
1584331815,11059,11059
1584332052,11062,11062
1584332895,11076,11076
1584333994,11068,11068
1584335376,11070,11070
1584336617,11051,11051
1584338176,11075,11075
1584339250,11057,11057
1584340926,7967,7967
1584342853,11069,11069
1584344416,11046,11046
1584346516,11037,11037
1584347712,11043,11043
1584349480,11054,11054
1584350054,11063,11063
1584350891,11079,11079
1584352328,11081,11081
1584353468,11086,11086
1584355335,11098,11098
1584357250,11125,11125
1584358091,11124,11124
1584359774,11128,11128
1584360915,11122,11122
1584362415,11123,11123
1584364454,11130,11130
1584365291,11143,11143
1584366784,11123,11123
1584368114,11131,11131
1584369740,11122,11122
1584370572,11126,11126
1584371718,11133,11133
1584372493,11143,11143
1584373338,11110,11110
1584374660,11114,11114
1584375968,11121,11121
1584376937,11101,11101
1584377771,11104,11104
1584378914,11113,11113
1584380114,11106,11106
1584381301,11114,11114
1584382513,11095,11095
1584384014,11093,11093
1584385462,11086,11086
1584386890,11092,11092
1584388533,11079,11079
1584389713,11087,11087
1584390914,11089,11089
1584392112,11113,11113
1584393251,11139,11139
1584394093,11160,11160
1584394932,11142,11142
1584396852,11137,11137
1584398415,11162,11162
1584400514,11185,11185
1584401290,11168,11168
1584402391,11166,11166
1584403814,11181,11181
1584405015,11168,11168
1584407412,11228,11228
1584409333,11205,11205
1584411254,11227,11227
1584412512,11224,11224
1584414041,11221,11221
1584415695,11244,11244
1584416533,11227,11227
1584418216,11247,11247
1584419290,11260,11260
1584420138,11242,11242
1584421821,11250,11250
1584423735,11221,11221
1584425653,11240,11240
1584427333,11220,11220
1584429252,11251,11251
1584430514,11247,11247
1584431681,11247,11247
1584432913,11254,11254
1584434535,11256,11256
1584435375,11278,11278
1584436514,11278,11278
1584438131,11268,11268
1584439814,11277,11277
1584440975,11277,11277
1584443419,11309,11309
1584445513,11301,11301
1584446438,11294,11294
1584447251,11299,11299
1584448092,11314,11314
1584448935,11291,11291
1584450852,11288,11288
1584452323,11281,11281
1584454453,11292,11292
1584455713,11295,11295
1584456911,11305,11305
1584458050,11319,11319
1584458892,11334,11334
1584459737,11305,11305
1584461414,11293,11293
1584463339,11279,11279
1584465250,11271,11271
1584466662,11276,11276
1584467934,11266,11266
1584468850,7967,7967
1584470029,11284,11284
1584471310,7967,7967
1584472514,11295,11295
1584473715,11276,11276
1584475079,11281,11281
1584476052,11286,11286
1584477615,11280,11280
1584478572,11282,11282
1584479653,11282,11282
1584480914,11259,11259
1584482111,11277,11277
1584483255,11292,11292
1584484093,11300,11300
1584485411,11297,11297
1584486855,11285,11285
1584487692,11293,11293
1584489012,11284,11284
1584490450,11290,11290
1584491291,11303,11303
1584492970,11288,11288
1584494113,11296,11296
1584494891,11299,11299
1584495733,11283,11283
1584497420,11295,11295
1584498490,11300,11300
1584499982,11300,11300
1584501266,11315,11315
1584502511,11297,11297
1584503714,11300,11300
1584504916,11300,11300
1584505697,11313,11313
1584507312,11302,11302
1584508514,11310,11310
1584510137,11291,11291
1584510970,11301,11301
1584512052,11303,11303
1584513313,11286,11286
1584515194,11292,11292
1584515652,11299,11299
1584516911,11284,11284
1584518500,11269,11269
1584519617,11285,11285
1584520816,11280,11280
1584521770,11278,11278
1584522917,11275,11275
1584523691,11289,11289
1584525375,11266,11266
1584526515,11255,11255
1584528015,11254,11254
1584530050,11257,11257
1584531312,11264,11264
1584533003,11266,11266
1584533654,11280,11280
1584535330,11286,11286
1584537252,11302,11302
1584538093,11318,11318
1584539411,11308,11308
1584540620,11317,11317
1584541696,11330,11330
1584544451,11339,11339
1584547481,11346,11346
1584548052,11353,11353
1584549615,11340,11340
1584551653,11328,11328
1584553333,11336,11336
1584554170,11347,11347
1584555250,11343,11343
1584556931,11352,11352
1584558126,11338,11338
1584559695,11371,11371
1584561012,11371,11371
1584562221,11368,11368
1584564136,11366,11366
1584565814,11359,11359
1584566992,11335,11335
1584568243,11353,11353
1584569413,11339,11339
1584570915,11338,11338
1584572594,11322,11322
1584574215,11327,11327
1584574931,11320,11320
1584576349,11304,11304
1584577512,11325,11325
1584578531,11286,11286
1584580455,11290,11290
1584582014,7967,7967
1584583578,11268,11268
1584584713,11287,11287
1584585732,11267,11267
1584587415,11249,11249
1584589334,11246,11246
1584591251,11243,11243
1584592934,11218,11218
1584594621,11238,11238
1584595818,11227,11227
1584598454,11239,11239
1584599292,11244,11244
1584600136,11238,11238
1584600970,11259,11259
1584602054,11257,11257
1584602893,11275,11275
1584603731,11253,11253
1584605652,11260,11260
1584606492,11266,11266
1584608112,11243,11243
1584609253,11235,11235
1584610933,11212,11212
1584611772,11224,11224
1584612914,11224,11224
1584613695,11236,11236
1584614532,11202,11202
1584616220,11222,11222
1584618132,11226,11226
1584618970,11237,11237
1584620114,11234,11234
1584621376,7967,7967
1584622515,11246,11246
1584623716,11259,11259
1584624913,11254,11254
1584626789,11231,11231
1584627928,11242,11242
1584629415,11235,11235
1584630616,11239,11239
1584631815,11231,11231
1584633373,11249,11249
1584634512,11248,11248
1584636134,11257,11257
1584638050,11262,11262
1584639616,11262,11262
1584640886,11277,11277
1584641654,11295,11295
1584643330,11308,11308
1584645251,11312,11312
1584646934,11302,11302
1584648117,11306,11306
1584649813,11315,11315
1584651371,11313,11313
1584652514,11303,11303
1584653292,11304,11304
1584654973,11291,11291
1584656115,11293,11293
1584657313,11315,11315
1584659420,11302,11302
1584660612,11298,11298
1584662171,11312,11312
1584663313,11317,11317
1584664094,11316,11316
1584665483,11315,11315
1584666850,11317,11317
1584668114,11301,11301
1584669313,11307,11307
1584670451,11298,11298
1584672137,11276,11276
1584674055,11276,11276
1584675914,11258,11258
1584677413,11254,11254
1584679331,11251,11251
1584681021,11262,11262
1584682689,11253,11253
1584683815,11263,11263
1584684855,11250,11250
1584685695,11257,11257
1584686542,11240,11240
1584687681,11236,11236
1584688815,11250,11250
1584690611,11235,11235
1584691820,11238,11238
1584693736,11232,11232
1584695651,11245,11245
1584697514,11208,11208
1584699253,11217,11217
1584700934,11196,11196
1584702853,11189,11189
1584703690,11196,11196
1584705423,11167,11167
1584706814,11165,11165
1584707295,11159,11159
1584709283,11134,11134
1584710893,11146,11146
1584711731,11125,11125
1584713420,11136,11136
1584715332,11131,11131
