DateTime,AddedIPs,RemovedIPs
1584111642,12,6
1584112817,5,6
1584114136,4,7
1584115817,12,3
1584117735,6,9
1584119653,9,11
1584121228,4,6
1584123252,7,6
1584124092,5,3
1584125772,4,5
1584126854,9,4
1584127697,4,4
1584129416,3,11
1584130455,8,2
1584132135,12,14
1584133819,5,7
1584135018,5,3
1584136514,9,1
1584137675,7,8
1584138916,4,5
1584140115,1,4
1584141255,4,8
1584142095,2,3
1584142939,4,4
1584144855,4,3
1584145695,3,3
1584147013,5,4
1584148181,5,5
1584149293,3,1
1584150593,3,3
1584152052,4,2
1584153630,12,7
1584155006,8,2
1584155655,4,0
1584157334,5,4
1584159020,4,7
1584160831,8,10
1584162855,5,11
1584164032,2,6
1584165223,2,3
1584166520,3,2
1584167714,0,4
1584168915,2,3
1584170053,6,1
1584171735,2,6
1584173422,4,3
1584174617,3,5
1584176164,1,2
1584177315,3,1
1584178935,6,2
1584180616,5,7
1584182535,5,4
1584183640,4,4
1584184819,4,1
1584186133,3,6
1584186974,2,4
1584188117,5,5
1584189313,1,2
1584191417,3,6
1584193337,3,4
1584195023,6,3
1584196934,2,6
1584197775,1,4
1584198916,4,3
1584200115,7,2
1584201372,7,2
1584202520,8,6
1584204136,7,12
1584205823,6,5
1584207175,2,8
1584208400,8,9
1584209717,6,4
1584210496,4,2
1584211667,5,6
1584213016,3,3
1584214180,5,9
1584215712,6,2
1584216902,8,5
1584217694,7,3
1584219373,4,6
1584225417,1,18
1584226572,5,3
1584227655,9,1
1584228912,5,7
1584230172,6,8
1584231252,2,2
1584232096,8,3
1584232933,5,11
1584234616,6,6
1584235694,2,3
1584236924,2,3
1584238221,9,4
1584239420,8,3
1584240616,11,4
1584241815,4,10
1584242895,9,8
1584245053,8,5
1584245654,2,5
1584246886,5,4
1584249022,2,12
1584250933,6,8
1584251776,4,2
1584252851,3,4
1584253694,2,1
1584256453,14,11
1584257286,4,5
1584260052,10,9
1584261732,6,7
1584262578,2,3
1584263655,2,2
1584264492,4,4
1584265625,4,8
1584267015,8,9
1584268220,2,3
1584269712,8,5
1584270914,6,8
1584272536,7,9
1584274456,9,7
1584276136,3,8
1584277817,6,2
1584279735,9,8
1584281652,8,10
1584282495,4,3
1584284117,3,4
1584285256,1,5
1584286513,6,9
1584287713,5,1
1584288852,5,3
1584290113,9,3
1584291314,4,8
1584292452,6,3
1584293292,2,3
1584294540,2,8
1584295241,2,3
1584296416,3,2
1584297732,5,1
1584299415,4,8
1584300619,0,1
1584301761,2,3
1584303252,2,3
1584304095,1,0
1584305413,5,2
1584306619,1,4
1584306852,2,0
1584308535,8,5
1584309373,3,1
1584310518,4,7
1584311295,5,4
1584312974,5,12
1584314118,8,2
1584314894,6,1
1584315733,1,7
1584316574,1,5
1584317717,3,3
1584318493,3,2
1584319336,5,3
1584320174,3,2
1584321250,5,2
1584322096,6,4
1584323419,6,7
1584324627,3,5
1584325827,4,4
1584327320,1,2
1584328461,2,6
1584330042,2,4
1584331822,2,3
1584332056,0,1
1584332899,406,2
1584334000,326,24
1584335381,1,43
1584337821,6,42
1584338181,3,11
1584339254,8,24
1584342197,7,45
1584342858,0,14
1584344441,2,18
1584346525,1,31
1584347716,2,15
1584349485,4,24
1584350058,3,3
1584350895,2,7
1584352338,4,15
1584353477,2,12
1584355350,3,18
1584357254,5,23
1584358094,2,9
1584359779,0,18
1584360922,1148,6
1584362420,33,108
1584364460,6,69
1584365295,4,32
1584366792,3,42
1584368119,3,46
1584369755,2,37
1584370576,2,28
1584371724,1,29
1584372497,3,21
1584373343,0,22
1584374664,3,36
1584375977,2,24
1584376949,2,18
1584377775,1,10
1584378921,4,18
1584380121,1,26
1584381312,3,28
1584382520,2,32
1584384020,3,13
1584385466,2,31
1584386894,5,12
1584388537,4,22
1584389717,4,18
1584390918,1,14
1584392117,1,21
1584393255,4,16
1584394097,0,14
1584394936,4,14
1584396857,2,29
1584398420,0,15
1584400520,4,21
1584401295,2,6
1584402399,1,15
1584403819,4,13
1584405020,2,10
1584407419,2,23
1584409344,3,21
1584411259,2,18
1584412516,3,13
1584414056,4,12
1584415700,5,15
1584416537,1,10
1584418220,5,10
1584419295,3,5
1584420149,5,7
1584421828,5,17
