DateTime,AddedIPs,RemovedIPs
1583746812,21,22
1583748979,8,26
1583750892,17,36
1583752814,15,23
1583754751,9,25
1583756653,29,23
1583760760,23,63
1583762679,26,28
1583764575,20,0
1583768415,31,48
1583770335,23,26
1583772278,27,24
1583774174,31,29
1583776100,32,33
1583778032,33,0
1583779933,28,24
1583781854,34,34
1583785687,32,44
1583787611,35,28
1583789533,27,22
1583791723,32,22
1583793636,34,25
1583795538,30,19
1583797451,33,35
1583799375,24,27
1583801293,32,26
1583803238,23,23
1583805153,23,26
1583808992,25,31
1583810892,29,34
1583812816,37,27
1583814769,32,23
1583816678,34,28
1583818574,29,29
1583820521,36,20
1583822416,20,37
1583824332,30,26
1583830095,35,62
1583832005,13,20
1583833955,8,20
1583835850,16,9
1583837771,17,18
1583839712,13,22
1583841611,14,7
1583843557,3,29
1583845480,19,0
1583847427,18,30
1583849296,29,30
1583851239,30,22
1583853138,33,0
1583855051,27,29
1583858891,28,59
1583860816,20,27
1583862728,37,32
1583864652,43,29
1583866567,30,32
1583868490,26,34
1583870434,28,0
1583872337,20,30
1583874502,19,29
1583876416,18,25
1583878359,25,32
1583880250,27,38
1583882173,32,32
1583884090,28,33
1583886006,22,28
1583887924,17,29
1583893686,27,59
1583895611,33,24
1583897532,30,31
1583899694,41,34
1583901611,31,33
1583903530,17,42
1583905448,26,35
1583907371,25,30
1583909290,25,30
1583911205,31,33
1583913126,22,0
1583915050,20,0
1583916967,22,36
1583918887,27,14
1583920814,24,10
1583922732,13,15
1583924656,9,16
1583926571,29,13
1583928490,29,11
1583930410,31,2
1583932330,28,15
1583934275,35,17
1583936174,29,25
1583938091,29,34
1583940009,34,39
1583941930,24,30
1583943876,30,0
1583947686,38,41
1583949608,29,37
1583953700,20,65
1583955650,31,27
1583959449,39,56
1583961372,33,26
1583963289,33,20
1583965236,30,21
1583967126,24,25
1583969050,36,33
1583970988,30,26
1583972886,37,19
1583974806,28,22
1583976774,22,0
1583978893,25,0
1583980811,25,26
1583982730,23,37
1583986568,30,63
1583988489,42,24
1583990407,31,19
1583992327,24,35
1583994248,38,24
1583996167,19,22
1583998086,29,21
1584000010,21,23
1584002896,22,22
1584006017,17,45
1584007933,19,17
1584009846,12,10
1584011775,16,15
1584013717,17,31
1584015607,36,30
1584017524,22,33
1584019466,26,29
1584021366,38,34
1584023284,32,33
1584025226,29,30
1584027130,27,27
1584029318,15,27
1584031208,15,31
1584033129,23,0
1584035045,35,34
1584036998,32,27
1584038889,26,0
1584040808,32,23
1584042725,27,30
1584044675,27,0
1584046566,25,35
1584050434,30,66
1584052330,36,25
1584054252,27,27
1584056168,34,38
1584060010,45,63
1584061930,29,26
1584063850,31,21
1584065770,35,27
1584067689,26,29
1584069606,29,25
1584071548,28,0
1584073450,26,29
1584075364,24,37
1584077284,26,28
1584079208,27,25
1584081156,25,38
1584083297,27,14
1584085210,24,27
1584087136,29,24
1584090970,16,21
1584092890,20,17
1584094806,13,16
1584098646,20,20
1584100566,10,17
1584102485,31,37
1584104408,24,17
1584106331,22,24
1584108249,25,36
1584110167,22,34
1584112106,20,26
1584114015,13,25
1584115934,35,17
1584117852,27,17
1584119773,27,29
1584121694,25,25
1584123605,41,27
1584125528,19,29
1584127450,38,33
1584129367,24,28
1584133211,29,54
1584135139,23,0
1584137322,23,36
1584139209,19,29
1584143050,31,60
1584144972,27,0
1584146890,29,41
1584148812,34,27
1584150726,17,31
1584152648,35,35
1584154567,24,27
1584156484,31,34
1584158411,28,34
1584160329,35,31
1584162495,35,19
1584164412,18,25
1584166331,36,30
1584168261,31,29
1584170170,24,28
1584172120,18,26
1584174008,24,34
1584175929,23,0
1584177846,12,22
1584179769,11,20
1584181685,18,12
1584183617,24,0
1584185528,25,17
1584187703,25,12
1584189612,20,30
1584191535,24,23
1584193451,29,23
1584197531,24,45
1584199446,26,18
1584201366,19,12
1584203287,22,31
1584205225,18,27
1584207130,27,22
1584209060,20,31
1584210969,15,36
