DateTime,AddedIPs,RemovedIPs
1584366721,3,0
1584367921,7,0
1584369181,77,62
1584369721,0,1
1584370612,925,254
1584372121,5,0
1584372721,62,54
1584373321,2,0
1584374650,4,2
1584375122,1,0
1584376381,74,57
1584377522,3,1
1584378721,5,0
1584379875,78,47
1584379982,0,1
1584380521,1,0
1584381721,8,0
1584382322,4,0
1584382921,1,0
1584383521,4,0
1584383582,72,54
1584384721,4,0
1584385321,1,0
1584385922,1,0
1584387121,75,55
1584387721,2,0
1584388322,2,0
1584390121,7,0
1584390721,73,80
1584391921,4,0
1584392521,4,0
1584393121,1,0
1584393721,2,0
1584394321,77,76
1584394921,2,0
1584395521,3,0
1584397321,2,0
1584397864,54,84
1584398522,3,0
1584399721,2,0
1584400921,19,0
1584401521,1,0
1584401581,53,99
1584402121,3,0
1584403321,6,0
1584404522,1,0
1584405121,49,79
1584405721,2,0
1584406921,2,0
1584408122,2,1
1584408695,51,73
1584409321,3,0
1584410521,1,0
1584411722,6,1
1584412322,29,60
1584413521,3,0
1584414721,1,0
1584415322,3,0
1584415890,68,75
1584417121,5,0
1584417721,1,0
1584418922,1,0
1584419521,84,84
1584419581,1,0
1584420121,2,0
1584421322,6,0
1584421921,4,0
1584422522,1,0
1584423092,66,68
1584423722,5,0
1584424921,4,0
1584426121,2,0
1584426782,52,42
1584427321,4,0
1584428521,1,0
1584429721,3,0
1584430269,47,39
1584431521,5,0
1584432121,1,0
1584432721,3,0
1584433322,0,1
1584433875,82,51
1584433982,1,0
1584435722,3,0
1584436322,3,0
1584436921,3,0
1584437521,77,42
1584438721,2,0
1584439921,4,0
1584440521,3,0
1584442944,132,69
1584443521,3,0
1584444902,5,0
1584445922,2,0
1584446521,2,0
1584447122,2,0
1584447721,3,0
1584448921,4,0
1584449521,5,0
1584450171,71,44
1584451921,8,0
1584451981,55,66
1584452521,6,0
1584453121,5,0
1584453721,15,0
1584454321,2,0
1584454922,2,0
1584455522,74,54
1584456121,5,0
1584457321,4,0
1584457734,825,251
1584457921,1,1
1584458521,6,0
1584459122,77,65
1584461521,2,0
1584462781,66,56
1584463321,1,0
1584463922,1,0
1584464521,2,0
1584465121,3,0
1584465721,1,0
1584466321,71,68
1584466921,1,0
1584468122,6,0
1584468721,2,0
1584469351,1,0
1584469922,79,61
1584470521,2,0
1584471121,1,0
1584471722,9,0
1584472321,1,0
1584472921,4,0
1584473581,69,58
1584475321,7,0
1584475921,1,0
1584476521,17,0
1584477121,1,0
1584477722,1,0
1584478322,5,0
1584478969,103,130
1584479521,1,0
1584480121,1,0
1584480721,5,0
1584480781,1,0
1584481322,2,0
1584482522,5,0
1584483722,4,0
1584484290,60,90
1584486721,7,0
1584487321,10,1
1584487921,52,89
1584488521,1,0
1584489722,6,0
1584490321,2,1
1584491521,4,0
1584491643,50,88
1584492721,2,0
1584493321,3,0
1584493921,2,0
1584494522,1,0
1584496321,4,0
1584496921,49,58
1584498666,41,56
1584500522,4,0
1584501122,2,0
1584502321,59,67
1584503521,0,1
1584504121,1,0
1584505321,3,0
1584505921,67,88
1584506521,1,0
1584507121,2,0
1584507721,3,0
1584508321,2,0
1584508921,1,0
1584509465,58,61
1584509582,1,0
1584510121,5,0
1584510722,1,0
1584511322,3,0
1584511921,7,0
1584512521,3,0
1584513182,54,49
1584513721,5,0
1584514921,13,0
1584516721,62,39
1584517321,2,0
1584518521,1,0
1584519121,1,0
1584519721,2,0
1584520271,66,45
1584520921,2,0
1584521521,2,0
1584522721,85,33
1584523322,2,0
1584523921,1,0
1584524521,3,0
1584525121,7,0
1584525726,59,45
1584526321,10,0
1584527581,2,0
1584528121,2,0
1584528722,3,0
1584529321,87,166
1584529922,1,0
1584530522,4,0
1584531122,194,92
1584531721,3,0
1584532321,2,0
1584532922,5,0
1584533521,1,0
1584534121,2,0
1584534722,54,52
1584535329,7,0
1584536521,2,0
1584537721,2,0
1584538321,67,47
1584538921,7,0
1584539521,1,0
1584540121,4,0
1584540722,2,0
1584541881,67,61
1584541982,3,0
1584543122,5,0
1584544838,1166,304
1584544921,2,0
1584545521,66,46
1584546122,2,0
1584547321,48,45
1584548522,1,0
1584549121,45,43
1584549721,2,0
1584550921,51,45
1584552721,84,56
1584553321,1,0
1584554522,1,0
1584555721,4,0
1584556321,79,51
1584556921,2,0
1584558122,62,49
1584558721,1,0
1584559321,4,0
1584561721,0,1
1584562921,4,0
1584563521,57,81
1584564121,2,0
1584565321,3,0
1584565921,3,0
1584566521,4,0
1584567121,78,110
1584567721,3,0
1584568321,3,0
1584568921,3,1
1584569522,3,0
1584570121,5,0
1584570721,59,82
1584571321,1,0
1584571921,1,0
1584572521,54,92
1584573722,4,0
1584574921,3,0
1584576121,3,0
1584577321,6,0
1584577921,2,0
1584579122,4,0
1584579721,82,139
1584580921,4,0
1584582122,6,0
1584583321,2,0
1584584521,4,0
1584585084,37,51
1584585722,1,0
1584586322,4,0
1584588121,7,0
1584588721,2,0
1584588781,61,77
1584589321,1,0
1584590521,1,0
1584591721,5,0
1584592321,68,81
1584592921,6,0
1584594121,3,0
1584595321,1,0
1584595910,62,68
1584596522,1,0
1584597721,3,0
1584598921,1,0
1584599521,57,47
1584600121,1,0
1584600721,1,0
1584602521,4,0
1584603121,67,34
1584604921,3,0
1584606121,0,1
1584606721,2,0
1584607321,7,0
1584607921,1,0
1584608522,64,42
1584609121,2,0
1584610276,72,46
1584610381,1,0
1584610922,1,0
1584611522,4,0
1584612121,1,0
1584613321,2,0
1584613921,82,48
1584615722,3,0
1584617476,57,47
1584618121,2,0
1584618722,1,0
1584619615,1,0
1584619921,2,0
1584620521,1,0
1584621121,68,51
1584621721,1,0
1584623048,2,0
1584623522,1,0
1584624121,2,0
1584624722,120,62
1584625321,1,0
1584626521,1,0
1584627121,2,0
1584627721,1,0
1584628381,64,57
1584628921,1,0
1584630721,2,0
1584631970,1136,352
1584632521,2,0
1584634322,2,0
1584634922,1,0
1584635581,2,0
1584636121,1,0
1584636721,0,1
1584637322,62,59
1584637921,2,0
1584639077,74,57
1584639721,1,0
1584641166,1,0
1584641521,1,0
1584642122,1,0
1584642781,2,0
1584644711,68,54
1584645721,4,0
1584646381,79,62
1584646921,1,0
1584648121,1,1
1584649321,2,0
1584649921,81,70
1584651722,1,0
1584652322,1,0
1584653469,72,76
1584653582,2,0
1584654121,4,0
1584655321,3,1
1584655921,1,0
1584657181,63,94
1584657721,13,1
1584658921,5,1
1584660122,8,0
1584660680,52,94
1584661322,3,0
1584662521,5,0
1584663721,1,0
1584664322,1,0
1584664922,2,0
1584666121,4,0
1584667321,2,0
1584668521,1,0
1584669721,5,0
1584670921,5,0
1584672121,2,0
1584672613,1,0
1584673321,0,1
1584673921,3,0
1584674522,2,0
1584675122,3,0
1584675182,1,0
1584676921,1,0
1584678121,3,0
1584679322,1,0
1584680521,3,0
1584681121,2,0
1584681721,7,1
1584684121,7,0
1584685322,1,0
1584686521,4,0
1584687721,1,0
1584688921,1,0
1584689582,3,0
1584690121,11,0
1584691321,4,0
1584691921,2,0
1584694321,1,0
1584694921,5,0
1584696121,3,0
1584696721,4,0
1584697321,1,0
1584697921,1,0
1584698686,4,0
1584700382,4,0
1584700921,1,0
1584701521,7,0
1584702721,4,0
1584703922,2,0
1584703981,2,0
1584705121,2,0
1584706321,4,0
1584706555,1,0
1584706921,5,0
1584707521,9,0
1584709321,4,0
1584709921,1,0
1584710522,2,0
1584711121,3,0
1584711721,2,0
1584712321,1,0
1584713521,2,0
1584714121,6,0
1584714721,1,0
1584714781,2,0
1584715321,1,0
1584716522,1,0
1584717721,1,0
1584719081,882,235
1584720121,1,0
1584722521,4,0
1584723121,1,0
1584724321,1,0
1584724921,9,0
1584725521,4,0
1584726121,1,1
1584728521,3,0
1584729182,5,0
1584729721,9,0
1584730321,1,0
1584730922,1,0
1584731522,1,0
1584732121,1,0
1584734521,9,0
1584735721,3,0
1584736321,3,0
1584736921,2,0
1584737521,1,0
1584738121,1,0
1584740521,5,0
1584741721,2,0
1584742321,4,0
1584742921,2,0
1584744121,2,2
1584745321,1,0
1584746522,4,0
1584747122,1,0
1584747722,3,0
1584748922,1,0
1584749521,4,0
1584751921,4,0
