DateTime,AddedIPs,RemovedIPs
1584501573,6,19
1584502351,25,33
1584503012,5,11
1584503973,4,14
1584504254,28,10
1584504694,4,6
1584505413,8,14
1584506184,21,10
1584506854,4,12
1584507573,1,16
1584508094,74,7
1584508292,6,7
1584509013,6,16
1584509732,4,12
1584510007,9,9
1584510452,3,10
1584511173,6,12
1584511952,100,562
1584512613,3,13
1584513333,2,27
1584513847,10,12
1584514053,3,10
1584514774,5,10
1584515492,6,4
1584515774,12,12
1584516212,4,12
1584516933,3,7
1584517652,19,9
1584518373,22,11
1584519094,77,8
1584519613,13,17
1584519813,5,4
1584520532,3,9
1584521253,5,8
1584521530,17,6
1584522749,52,19
1584523467,13,20
1584524133,4,7
1584524853,3,13
1584525383,4,6
1584525573,9,13
1584526293,5,7
1584527013,3,13
1584527292,11,13
1584527733,6,14
1584528455,8,89
1584529229,21,10
1584529893,3,13
1584530613,1,13
1584531134,19,14
1584531333,5,9
1584532053,4,8
1584532772,6,8
1584533049,22,5
1584533493,1,9
1584534213,5,5
1584534732,2,0
1584534988,11,13
1584535653,9,8
1584536373,6,7
1584536891,9,5
1584537093,9,5
1584537369,46,0
1584537813,2,3
1584538533,3,15
1584538812,5,12
1584539253,1,5
1584539973,4,11
1584540743,19,14
1584541413,2,4
1584542132,1,6
1584542654,8,9
1584542852,3,6
1584543573,7,6
1584544293,2,7
1584544565,7,9
1584545013,9,6
1584545734,6,6
1584546508,10,7
1584547172,5,4
1584547892,6,3
1584548456,4,4
1584548612,4,4
1584549333,73,7
1584550351,28,11
1584551253,7,7
1584552020,51,7
1584552247,11,0
1584552693,6,3
1584553413,3,6
1584554187,43,21
1584554852,0,3
1584555573,2,4
1584556089,19,13
1584556293,6,1988
1584557014,4,7
1584557733,4,4
1584558020,19,0
1584558453,3,7
1584559173,4,3
1584559943,48,23
1584560613,16,5
1584561333,3,8
1584562052,6,4
1584562772,2,5
1584563493,3,4
1584564015,36,15
1584564214,4,6
1584564933,8,5
1584565652,4,4
1584565936,35,5
1584566374,6,21
1584566646,27,0
1584567092,3,19
1584567864,25,11
1584568532,4,3
1584569253,3,9
1584569767,28,11
1584569974,22,8
1584570693,3,6
1584571412,6,8
1584571685,17,11
1584572133,3,11
1584572852,8,63
1584573621,34,17
1584574293,5,3
1584575014,2,1
1584575528,25,14
1584575733,7,8
1584576453,7,6
1584577173,5,7
1584577893,9,5
1584578415,4,0
1584578613,4,5
1584579380,33,34
1584580052,5,21
1584580773,6,2
1584581287,55,9
1584581492,4,6
1584582213,10,3
1584582932,5,4
1584583213,34,9
1584583653,6,7
1584584372,24,5
1584585142,54,25
1584585813,16,5
1584586533,13,5
1584587309,22,3
1584587973,6,7
1584588693,6,3
1584589218,17,11
1584589413,2,4
1584590132,15,5
1584590852,7,2
1584591132,10,9
1584591573,4,9
1584592292,5,6
1584593065,22,15
1584593733,17,1
1584594453,10,6
1584594974,17,11
1584595172,4,5
1584595940,41,8
1584596613,4,3
1584596891,9,10
1584597333,6,8
1584598053,547,784
1584598849,35,20
1584599493,4,3
1584600213,5,3
1584600727,21,8
1584600933,4,6
1584601653,2,5
1584602373,11,4
1584602646,11,14
1584603093,6,4
1584603813,8,7
1584604581,18,30
1584605253,4,85
1584605973,7,8
1584606486,6,21
1584606693,6,3
1584607413,6,5
1584608133,11,5
1584608415,14,17
1584608853,5,12
1584609574,4,7
1584610342,26,13
1584610812,31,3
1584611013,4,10
1584611733,3,14
1584612507,34,9
1584613172,6,1237
1584613893,9,8
1584614408,12,0
1584614613,10,14
1584615333,8,8
1584616053,7,8
1584616331,4,7
1584616773,7,9
1584617493,4,8
1584618263,15,9
1584618933,1,7
1584619653,3,6
1584620188,8,14
1584620373,6,5
1584621093,6,6
1584621813,7,7
1584622095,14,11
1584622533,4,6
1584623252,7,7
1584624017,22,26
1584624692,4,1
1584625459,38,6
1584625929,25,16
1584626132,3,1
1584626853,5,4
1584627573,7,2
1584627848,14,8
1584628293,2,2
1584629012,3,2
1584629779,39,13
1584630453,7,7
1584631172,8,1
1584631893,9,7
1584632613,11,4
1584633333,10,11
1584633614,30,19
1584634773,11,17
1584635544,33,17
1584636213,9,18
1584636932,11,5
1584637708,39,21
1584638373,4,15
1584639093,4,17
1584639611,40,11
1584639812,7,9
1584640090,29,1
1584640533,3,11
1584641252,11,3
1584641535,21,9
1584641972,7,5
1584642692,11,2000
1584643458,21,16
1584644133,7,7
1584644853,104,12
1584645375,16,14
1584645573,5,7
1584646292,1,14
1584647013,3,24
1584647294,21,14
1584647733,2,9
1584648452,5,8
1584649218,39,18
1584649893,6,8
1584650613,4,8
1584651126,41,22
1584651333,5,17
1584652052,4,3
1584652773,6,5
1584653073,19,9
1584653492,8,2
1584654213,6,10
1584654484,4,0
1584654725,29,1
1584654976,21,18
1584655653,7,9
1584656373,6,27
1584656895,15,19
1584657093,6,4
1584657813,5,6
1584658533,9,2
1584658810,20,4
1584659253,8,8
1584659973,7,6
1584660739,39,24
