DateTime,AddedIPs,RemovedIPs
1583824332,19,9
1583826275,17,11
1583828195,24,14
1583830095,18,27
1583832005,20,21
1583833954,14,15
1583835850,17,9
1583837771,8,21
1583839711,12,868
1583841611,437,0
1583843556,28,24
1583845479,37,11
1583847426,16,23
1583849295,27,12
1583851238,18,22
1583853137,24,18
1583855050,20,10
1583856971,27,21
1583858889,28,20
1583860814,25,13
1583862727,18,6
1583864651,26,12
1583866566,24,18
1583868489,30,19
1583870433,31,25
1583872336,20,21
1583874500,33,23
1583876414,29,19
1583878357,29,20
1583880249,23,14
1583882171,33,21
1583884090,29,23
1583886006,384,0
1583887924,34,14
1583889846,20,20
1583891765,24,17
1583893685,31,10
1583895610,21,20
1583897532,16,12
1583899694,26,13
1583901611,23,26
1583903529,17,4
1583905447,17,8
1583907370,17,9
1583909289,16,13
1583911204,28,16
1583913125,26,21
1583915049,27,21
1583916966,21,25
1583918886,23,18
1583920813,17,18
1583922730,7,10
1583924655,13,853
1583926569,36,17
1583928488,432,0
1583930408,36,25
1583932329,29,18
1583934274,29,14
1583936172,42,20
1583938089,17,16
1583940007,21,13
1583941928,11,16
1583943875,21,20
1583945765,34,24
1583947684,16,21
1583949606,23,14
1583951528,23,22
1583953698,25,26
1583955648,26,20
1583957529,22,23
1583959446,24,17
1583961370,28,25
1583963286,19,12
1583965234,24,18
1583967123,20,8
1583969047,17,7
1583970989,27,32
1583972886,387,0
1583974807,25,19
1583976774,17,18
1583978893,23,17
1583980811,16,15
1583982730,21,5
1583984648,17,15
1583986568,27,16
1583988489,22,17
1583990406,16,16
1583992327,23,24
1583994248,24,16
1583996167,26,16
1583998085,26,22
1584000009,18,23
1584001959,12,14
1584004363,33,26
1584006272,20,12
1584008170,14,21
1584010112,16,8
1584012005,23,1114
1584013924,33,28
1584015869,527,0
1584017766,32,29
1584019688,22,23
1584021627,35,23
1584023532,22,23
1584025701,32,26
1584027634,31,18
1584029536,20,26
1584031473,29,17
1584033372,32,21
1584035292,19,16
1584037205,29,15
1584039152,13,19
1584041074,20,33
1584042994,35,30
1584044883,26,21
1584046805,22,19
1584048730,31,22
1584050893,26,19
1584052812,35,12
1584054730,32,18
1584056662,48,26
1584058570,461,0
1584060499,26,26
1584062407,34,20
1584064336,22,16
1584066274,24,22
1584068172,20,18
1584070091,17,17
1584072017,27,24
1584073929,24,19
1584076111,22,13
1584078008,31,19
1584079938,18,15
1584081849,22,12
1584083775,33,36
1584085694,17,22
1584087616,27,30
1584089528,21,11
1584091455,26,26
1584093368,27,13
1584095291,17,14
1584097219,24,1057
1584099135,33,26
1584101329,520,0
1584103206,24,28
1584105129,38,26
1584107047,17,18
1584108969,22,21
1584110891,27,15
1584112808,26,22
1584114725,14,23
1584116645,17,22
1584118564,26,24
1584120483,22,21
1584122409,26,24
