DateTime,AddedIPs,RemovedIPs
1584351122,7,0
1584351722,5,4
1584352921,0,22
1584353521,4,6
1584354121,5,0
1584354721,1,6
1584355921,6,0
1584356521,2,4
1584357121,4,1
1584358321,3,0
1584358921,1,7
1584360122,2,0
1584361321,5,4
1584362522,2,0
1584363721,3,5
1584364321,2,0
1584364922,1,3
1584366121,4,7
1584366721,5,3
1584367921,4,0
1584368521,3,6
1584369122,2,5
1584369721,1,0
1584371521,5,1
1584372121,2,3
1584372721,3,2
1584373321,3,0
1584374521,6,4
1584375122,2,0
1584375722,0,13
1584376921,3,0
1584377522,4,0
1584378121,2,0
1584378721,4,10
1584379321,4,0
1584379921,7,0
1584381121,3,2
1584382322,5,0
1584383521,2,2
1584384121,1,0
1584384721,4,5
1584385321,2,2
1584386521,3,2
1584387721,2,0
1584388322,2,3
1584388921,4,1
1584390121,0,1
1584391321,5,8
1584391921,2,0
1584392521,1,1
1584393121,1,0
1584393721,2,0
1584394321,2,7
1584395521,4,1
1584396721,3,0
1584397921,0,4
1584398522,3,0
1584399721,24,0
1584400921,1,6
1584402121,2,0
1584402721,7,1
1584403321,1,2
1584404522,2,2
1584405121,3,0
1584405721,3,1
1584406321,3,0
1584408122,3,15
1584409321,3,3
1584409921,3,0
1584411722,1,1
1584412322,3,2
1584413521,3,0
1584414721,2,0
1584415322,4,0
1584415921,4,3
1584417121,3,0
1584418922,1,10
1584419521,15,0
1584420121,6,2
1584421921,5,15
1584422522,3,3
1584423121,4,2
1584423722,0,2
1584424321,3,0
1584424921,2,6
1584426121,5,0
1584426721,4,1
1584427321,1,0
1584427922,1,0
1584429721,3,13
1584430322,6,1
1584432121,3,1
1584432721,6,0
1584433921,1,2
1584434522,1,0
1584435722,4,8
1584436921,3,0
1584437521,1,0
1584438721,0,11
1584439322,2,0
1584439921,3,5
1584441121,1,0
1584441722,2,3
1584442321,2,0
1584442922,2,0
1584443521,4,14
1584444121,5,4
1584445321,0,1
1584445922,4,5
1584447122,3,0
1584447721,1,4
1584448921,5,3
1584449521,6,0
1584450121,1,2
1584451322,8,0
1584452521,6,2
1584453121,2,0
1584453721,10,0
1584454321,3,3
1584454922,6,0
1584456121,4,0
1584456721,6,0
1584457921,0,11
1584458521,5,3
1584459122,1,0
1584460321,2,1
1584460921,1,0
1584461521,4,5
1584462721,2,1
1584463321,1,2
1584465121,4,3
1584465721,1,1
1584466321,2,0
1584466921,2,2
1584468122,1,2
1584469922,4,7
