DateTime,AddedIPs,RemovedIPs
1584366121,80,80
1584366721,80,80
1584367921,71,71
1584368521,80,80
1584369122,78,78
1584369721,80,80
1584371521,80,80
1584372121,80,80
1584372721,80,80
1584373321,80,80
1584374521,80,80
1584375122,80,80
1584375722,80,80
1584376921,80,80
1584377522,43,43
1584378121,79,79
1584378721,80,80
1584379321,80,80
1584379921,80,80
1584381121,80,80
1584382322,80,80
1584383521,28,28
1584384121,34,34
1584384721,80,80
1584385321,80,80
1584385922,80,80
1584386521,80,80
1584387721,80,80
1584388322,80,80
1584388921,80,80
1584390121,80,80
1584391321,80,80
1584391921,80,80
1584392521,68,68
1584393121,80,80
1584393721,80,80
1584394321,80,80
1584395521,80,80
1584396721,75,75
1584397921,30,30
1584398522,80,80
1584399721,80,80
1584400921,80,80
1584402121,78,78
1584402721,80,80
1584403321,80,80
1584404522,80,80
1584405121,80,80
1584405721,80,80
1584406321,80,80
1584408122,80,80
1584409321,80,80
1584409921,80,80
1584411722,80,80
1584412322,80,80
1584413521,80,80
1584414721,80,80
1584415322,79,79
1584415921,79,79
1584417121,75,75
1584417721,80,80
1584418922,80,80
1584419521,80,80
1584420121,80,80
1584421921,65,65
1584422522,28,28
1584423121,27,27
1584423722,24,24
1584424321,77,77
1584424921,80,80
1584426121,80,80
1584426721,80,80
1584427321,21,21
1584427922,80,80
1584429721,80,80
1584430322,79,79
1584431521,80,80
1584432121,80,80
1584432721,78,78
1584433921,76,76
1584434522,80,80
1584435722,80,80
1584436921,80,80
1584437521,80,80
1584438721,80,80
1584439322,77,77
1584439921,80,80
1584441121,80,80
1584441722,80,80
1584442321,80,80
1584442922,80,80
1584443521,80,80
1584444121,80,80
1584445321,77,77
1584445922,80,80
1584447122,70,70
1584447721,80,80
1584448921,75,75
1584449521,79,79
1584450121,80,80
1584451322,80,80
1584452521,80,80
1584453121,80,80
1584453721,80,80
1584454321,80,80
1584454922,80,80
1584456121,78,78
1584456721,80,80
1584457921,79,79
1584458521,79,79
1584459122,80,80
1584460321,77,77
1584460921,80,80
1584461521,80,80
1584462721,80,80
1584463321,80,80
1584463922,80,80
1584465121,80,80
1584465721,79,79
1584466321,80,80
1584466921,80,80
1584468122,79,79
1584469922,80,80
1584470521,21,21
1584471722,80,80
1584472321,80,80
1584472921,80,80
1584473521,80,80
1584474121,80,80
1584474721,80,80
1584475921,80,80
1584476521,80,80
1584477722,80,80
1584478921,80,80
1584479521,80,80
1584480121,80,80
1584481921,77,77
1584482522,80,80
1584483722,80,80
1584484322,80,80
1584485522,80,80
1584486721,80,80
1584487321,80,80
1584488521,80,80
1584489722,73,73
1584490321,80,80
1584490922,80,80
1584491521,80,80
1584493321,79,79
1584493921,80,80
1584494522,80,80
1584495122,78,78
1584495722,80,80
1584496321,80,80
1584496921,33,33
1584497521,15,15
1584498722,80,80
1584499921,80,80
1584500522,80,80
