DateTime,AddedIPs,RemovedIPs
1584357721,7,2
1584359521,4,8
1584360721,0,1
1584361321,1,0
1584361921,3,6
1584362522,4,0
1584363121,4,6
1584363721,0,3
1584364922,10,8
1584365521,2,0
1584366121,2,0
1584366721,0,4
1584367321,5,10
1584367921,2,3
1584369122,6,0
1584369721,3,8
1584370921,2,7
1584371521,3,0
1584372121,4,3
1584373321,2,14
1584374521,5,8
1584375122,2,11
1584376322,1,10
1584376921,2,2
1584377522,5,2
1584378721,5,7
1584379921,6,10
1584380521,3,0
1584381721,8,15
1584382921,7,20
1584383521,8,0
1584384121,4,6
1584384721,7,6
1584385922,1,11
1584386521,2,0
1584387121,10,29
1584387721,17,0
1584388322,3,6
1584388921,1,3
1584389521,1,17
1584390121,9,0
1584390721,6,4
1584391321,4,5
1584392521,11,15
1584393721,7,33
1584394321,4,15
1584394921,14,15
1584396121,4,23
1584396721,7,0
1584397321,3,0
1584398522,52,44
1584399721,15,0
1584400921,10,28
1584401521,6,0
1584402121,11,9
1584403321,12,22
1584404522,9,59
1584405121,0,13
1584406321,1,52
1584406921,3,0
1584408122,2,35
1584409321,9,5
1584410521,0,4
1584411722,18,66
1584412322,1,0
1584414121,12,27
1584414721,2,3
1584415921,12,12
1584417121,16,50
1584418321,9,31
1584418922,4,0
1584419521,15,19
1584420121,12,30
1584421322,16,14
1584421921,4,17
1584422522,2,34
1584423722,19,14
1584424921,25,0
1584425521,7,10
1584426721,6,16
1584427321,8,14
1584428521,4,0
1584429121,15,33
1584430322,22,0
1584431521,23,19
1584433322,14,57
1584433921,8,0
1584435122,5,19
1584435722,2,2
1584436322,11,0
1584436921,1,13
1584437521,10,15
1584438121,5,11
1584439921,26,2
1584440521,0,7
1584442321,12,12
1584442922,12,5
1584443521,1,12
1584444121,2,0
1584444721,5,2
1584445922,5,9
1584446521,7,1
1584447721,10,10
1584448921,4,4
1584449521,2,0
1584450121,3,19
1584451921,11,0
1584452521,8,2
1584453121,4,0
1584453721,7,6
1584454321,2,0
1584454922,0,5
1584455522,4,16
1584456121,4,0
1584456721,0,10
1584457321,15,0
1584457921,12,6
1584458521,17,4
1584459122,9,5
1584459721,17,14
1584460321,6,0
1584460921,9,4
1584462121,7,3
1584463321,6,3
1584463922,12,6
1584464521,1,4
1584465721,11,2
1584466321,1,0
1584466921,1,2
1584468122,9,15
1584468721,5,0
1584469321,1,0
