DateTime,AddedIPs,RemovedIPs
1584373321,23,23
1584374521,68,68
1584375122,32,32
1584376322,23,23
1584376921,11,11
1584377522,30,30
1584378121,7,7
1584378721,30,30
1584379921,27,27
1584380521,18,18
1584381721,57,57
1584382921,49,49
1584383521,48,48
1584384121,31,31
1584384721,70,70
1584385922,23,23
1584386521,19,19
1584387121,41,41
1584387721,68,68
1584388322,25,25
1584388921,27,27
1584389521,30,30
1584390121,35,35
1584390721,54,54
1584391321,51,51
1584392521,86,86
1584393721,51,51
1584394321,27,27
1584394921,70,70
1584396121,60,60
1584396721,65,65
1584397321,23,23
1584398522,88,88
1584399721,93,93
1584400921,83,83
1584401521,59,59
1584402121,38,38
1584403321,72,72
1584404522,57,57
1584405121,14,14
1584406321,47,47
1584406921,21,21
1584408122,26,26
1584409321,56,56
1584410521,32,32
1584411722,80,80
1584412322,16,16
1584412922,13,13
1584414121,83,83
1584414721,24,24
1584415921,75,75
1584417121,87,87
1584418321,84,84
1584418922,32,32
1584419521,54,54
1584420121,50,50
1584421322,62,62
1584421921,22,22
1584422522,33,33
1584423722,93,93
1584424921,94,94
1584425521,51,51
1584426721,37,37
1584427321,53,53
1584428521,29,29
1584429121,58,58
1584430322,71,71
1584431521,77,77
1584433322,88,88
1584433921,20,20
1584435122,51,51
1584435722,21,21
1584436322,46,46
1584436921,16,16
1584437521,35,35
1584438121,17,17
1584439921,94,94
1584440521,11,11
1584442321,63,63
1584442922,41,41
1584443521,16,16
1584444121,13,13
1584444721,36,36
1584445922,29,29
1584446521,49,49
1584447721,51,51
1584448921,30,30
1584449521,6,6
1584450121,20,20
1584451921,58,58
1584452521,9,9
1584453121,14,14
1584453721,14,14
1584454321,20,20
1584454922,5,5
1584455522,26,26
1584456121,38,38
1584456721,20,20
1584457321,49,49
1584457921,55,55
1584458521,54,54
1584459122,23,23
1584459721,59,59
1584460321,23,23
1584460921,58,58
1584462121,30,30
1584463321,43,43
1584463922,52,52
1584464521,12,12
1584465721,62,62
1584466321,25,25
1584466921,9,9
1584468122,42,42
1584468721,15,15
1584469321,19,19
1584469922,42,42
1584470521,64,64
1584471121,46,46
1584471721,43,43
1584472921,94,94
1584473521,17,17
1584474121,62,62
1584474721,12,12
1584475321,41,41
1584476521,79,79
1584477121,38,38
1584478322,61,61
1584478921,17,17
1584479521,20,20
1584480121,14,14
1584480721,48,48
1584481322,58,58
1584482522,80,80
1584483722,67,67
1584484322,36,36
1584484921,43,43
1584486721,95,95
1584487321,38,38
1584487921,43,43
1584488521,53,53
1584489722,92,92
1584490321,67,67
1584491521,89,89
1584492721,64,64
1584493321,33,33
1584493921,67,67
1584494521,39,39
1584495121,40,40
1584495722,21,21
1584496321,1,1
1584496921,42,42
1584498121,31,31
1584499322,59,59
1584499921,42,42
1584501122,82,82
1584501721,51,51
1584503521,86,86
1584504121,50,50
1584504721,45,45
1584505321,36,36
1584505921,51,51
1584507121,78,78
1584507721,62,62
1584508321,66,66
1584508921,74,74
1584509521,40,40
1584510121,43,43
1584511321,86,86
1584511921,60,60
1584513121,94,94
1584513721,34,34
1584514921,84,84
1584516121,38,38
1584516721,63,63
1584517321,39,39
1584518521,79,79
1584519121,49,49
1584519721,31,31
1584520921,65,65
1584521521,34,34
1584522721,95,95
1584523322,28,28
1584523921,43,43
1584524521,45,45
1584525121,43,43
1584526321,95,95
1584527522,88,88
1584528121,25,25
1584529922,89,89
1584530522,18,18
1584531122,51,51
1584531721,51,51
1584532321,62,62
1584533521,76,76
1584534121,19,19
1584534722,19,19
1584535321,14,14
1584535921,48,48
1584536521,52,52
1584537721,58,58
1584538321,33,33
1584539521,78,78
1584540722,57,57
1584541321,15,15
1584543122,93,93
1584543721,47,47
1584544921,87,87
1584545521,58,58
1584546122,66,66
1584546721,66,66
1584547922,48,48
1584548522,56,56
1584549121,52,52
1584549721,13,13
1584550321,51,51
1584550921,55,55
1584552121,94,94
1584552721,27,27
1584553321,22,22
1584554522,63,63
1584555721,79,79
1584556321,12,12
1584558122,75,75
1584559321,77,77
1584559921,65,65
1584560521,33,33
1584561721,75,75
1584562921,99,99
1584563521,37,37
1584564121,36,36
1584565921,95,95
1584566521,20,20
1584567121,39,39
1584567721,20,20
1584568921,72,72
1584569521,18,18
1584570121,42,42
1584570721,22,22
1584571921,63,63
1584573121,58,58
1584573722,31,31
1584575521,97,97
1584576121,31,31
1584576721,54,54
1584577921,46,46
1584579122,68,68
1584579721,4,4
1584580321,22,22
1584580921,14,14
1584582121,69,69
1584582721,37,37
1584583321,24,24
1584583921,19,19
1584585122,71,71
1584585722,20,20
1584586921,51,51
1584588121,55,55
1584588721,12,12
1584589321,26,26
1584590521,55,55
1584591721,70,70
1584592321,53,53
1584592921,24,24
1584594121,52,52
1584594722,34,34
1584595921,50,50
1584596522,53,53
1584597721,52,52
1584598321,67,67
1584598921,40,40
1584600121,57,57
1584600721,18,18
1584601321,16,16
1584602521,62,62
1584603121,32,32
1584603721,36,36
1584604921,51,51
1584606121,36,36
1584606721,39,39
1584607321,52,52
1584607921,28,28
1584608522,17,17
1584609121,20,20
1584610321,43,43
1584610922,15,15
1584611522,6,6
1584612121,26,26
1584612721,22,22
1584613321,17,17
1584613921,50,50
1584614521,21,21
1584615722,49,49
1584616921,69,69
1584618121,93,93
1584618722,65,65
1584619921,56,56
1584620521,48,48
1584621121,38,38
1584621721,75,75
1584622921,78,78
1584623522,43,43
1584624121,36,36
1584624722,79,79
1584625321,15,15
1584625921,24,24
1584626521,25,25
1584627721,62,62
1584628321,72,72
1584628921,38,38
1584630721,87,87
1584631322,35,35
1584631921,29,29
1584632521,16,16
1584634322,90,90
1584634922,76,76
1584636121,73,73
1584636721,33,33
1584637322,41,41
1584637921,26,26
1584638521,22,22
1584639721,67,67
1584640921,95,95
1584641521,32,32
1584642721,97,97
1584643321,65,65
1584643921,57,57
1584644521,50,50
1584645721,74,74
1584646921,85,85
1584647521,60,60
1584649321,95,95
1584649921,33,33
1584650521,28,28
1584651722,36,36
1584652921,84,84
1584654121,56,56
1584655321,89,89
1584655921,16,16
1584657122,62,62
1584657721,61,61
1584658921,30,30
1584660122,88,88
1584661322,82,82
1584662521,44,44
1584663121,23,23
1584663721,16,16
1584664321,52,52
1584664922,48,48
1584666121,46,46
1584667321,42,42
1584668521,70,70
1584669121,67,67
1584669721,21,21
1584670921,40,40
1584671521,15,15
1584672121,15,15
1584672721,8,8
1584673921,59,59
1584674522,43,43
1584675122,31,31
1584675721,29,29
1584676921,95,95
1584677521,24,24
1584678121,35,35
1584679322,73,73
1584680521,46,46
1584681121,56,56
1584681721,56,56
1584682921,92,92
1584683521,31,31
1584684721,74,74
1584685322,35,35
1584685921,43,43
1584687122,35,35
1584687721,64,64
1584688921,70,70
1584689521,56,56
1584691321,91,91
1584692521,64,64
1584693121,51,51
1584694321,85,85
1584694921,29,29
1584695522,26,26
1584696121,26,26
1584696721,39,39
1584697321,45,45
1584697921,19,19
1584698521,20,20
1584699121,8,8
1584699722,28,28
1584700921,33,33
1584701521,32,32
1584702721,23,23
1584703321,44,44
1584705121,85,85
1584705722,35,35
1584707521,69,69
1584708121,29,29
1584708721,7,7
1584709921,35,35
1584710521,21,21
1584711121,6,6
1584711721,25,25
1584712321,9,9
1584713521,33,33
1584714721,23,23
1584715321,24,24
1584715921,12,12
1584716522,44,44
1584717721,54,54
1584718921,30,30
1584719521,27,27
1584720121,23,23
1584720721,21,21
1584721922,26,26
1584722521,32,32
1584723121,28,28
1584724321,65,65
1584724921,22,22
1584725521,29,29
1584726121,51,51
1584727321,52,52
1584727922,18,18
1584728521,24,24
1584729721,48,48
1584730321,18,18
1584730922,1,1
1584732121,40,40
1584732721,34,34
1584733321,47,47
1584733921,23,23
1584734521,16,16
1584735721,54,54
1584736321,29,29
1584737521,48,48
1584738121,12,12
1584739322,47,47
1584740521,67,67
1584741721,82,82
1584742321,21,21
1584743522,48,48
1584744121,50,50
1584744721,11,11
1584745321,25,25
1584746521,72,72
1584747722,80,80
1584748922,69,69
1584749521,40,40
1584750121,38,38
1584750722,23,23
1584751921,26,26
1584753121,4,4
1584753721,46,46
1584754322,13,13
1584754922,46,46
1584756121,49,49
1584757321,34,34
1584757921,11,11
1584759121,36,36
1584760322,70,70
1584760921,46,46
1584761522,29,29
1584762121,22,22
1584762721,32,32
1584763922,67,67
1584764521,29,29
1584765122,74,74
1584765721,23,23
1584766322,43,43
1584766922,32,32
1584767522,47,47
1584768721,34,34
1584769321,5,5
1584770521,64,64
1584771122,41,41
1584771721,46,46
1584772321,7,7
1584772921,8,8
1584773521,28,28
1584774122,23,23
1584774722,5,5
1584775921,47,47
